Left Shoulder
262.0408 203.7695
244.4694 188.3750
234.7061 194.8281
236.6286 192.1328
232.2163 194.2227
222.0612 197.4688
229.3184 203.8828
263.5143 209.5664
259.7347 201.2109
261.9347 207.3281
263.5225 203.6406
263.2776 203.3320
153.0653 258.9688
98.3102 227.5664
384.2571 201.7500
456.8735 213.9414
367.5919 242.5781
380.9388 246.9297
370.5919 241.3047
381.5102 242.9844
363.6571 240.5977
360.2408 240.3203
380.6776 240.5000
375.1143 239.9883
383.2082 245.3125
390.4082 242.1641
386.5796 245.2813
390.3714 237.8438
384.8245 236.7461
385.8000 234.9336
384.7143 234.2617
386.6735 235.9531
396.4408 238.1563
395.1143 239.0039
390.8571 240.9414
383.0694 238.7188
382.5592 239.7813
367.0122 236.8750
151.5224 198.9961
146.9959 195.1055
145.0367 190.4063
153.7265 192.9844
469.8000 200.6094
465.2857 206.7656
454.7347 187.2500
445.1143 187.6602
402.5510 173.2773
422.2980 175.9844
482.6571 164.5234
357.2041 157.2500
427.7143 134.2617
262.7755 159.8125
352.8082 159.5664
521.3837 165.1016
336.3265 245.0938
177.9143 153.5391
313.1714 140.1172
327.1102 144.1563
337.4000 147.2344
363.2612 127.6641
365.6122 123.6406
345.9714 150.0859
331.2857 143.7969
328.1714 143.9180
364.1429 135.7500
368.3673 139.4766
399.3837 139.4688
366.7469 143.2891
361.9388 130.9375
379.0245 138.8359
392.4204 171.4648
383.9633 185.1953
404.0000 166.0000
163.7388 224.1484
245.7306 210.1719
280.7632 207.8125
282.4327 210.7188
255.6326 218.1953
257.2286 213.2109
672.0898 188.4531
424.5020 175.7266
428.5714 173.9375
430.1429 177.8125
431.1429 166.9102
430.6653 160.9453
438.8367 162.6328
436.8735 155.4414
429.5755 159.9609
431.4000 165.4727
415.5306 159.9336
415.8368 163.2500
406.2041 167.5156
223.2449 212.4063
225.0327 214.7773
257.5919 207.7969
259.5388 207.7148
231.9306 203.2461
686.2857 146.8984
442.8163 189.3750
495.5428 185.1875
553.2081 179.3516
655.5551 164.1016
651.0490 161.0000
605.3469 163.8984
620.9959 168.4688
378.2408 203.1953
375.3428 197.5625
402.4000 215.2891
399.0612 208.6875
436.2041 219.6563
471.3061 205.5938
492.2571 205.5313
499.0245 211.7109
497.0612 206.3125
487.0000 204.9531
532.9184 209.3281
436.3020 164.1953
466.8000 164.4063
533.9918 150.9141
557.4000 154.7891
554.2939 155.9180
574.2000 153.2344
571.7755 150.7813
586.4000 152.0391
453.6367 187.8594
32.6776 188.3594
507.7061 139.3398
534.3715 201.2656
560.2204 198.5469
538.5714 179.3281
596.2204 203.7031
687.2939 261.0625
690.2857 230.1797
248.1021 278.0781
633.5633 219.7031
309.8449 219.9258
300.6327 207.0781
259.0041 208.6797
299.5347 215.1875
618.4857 247.7266
306.8735 217.3750
244.3428 221.2227
432.3592 209.4531
338.5510 242.9375
516.3265 205.1094
509.6408 207.5469
517.3551 212.7422
528.5388 212.3164
536.7510 205.9375
260.1224 186.3906
283.8000 189.2891
311.2571 207.2188
297.8571 198.9453
341.3470 237.5000
217.5877 222.7578
338.3224 271.1094
289.2449 138.0703
428.2000 243.2695
430.9551 236.5313
253.8857 386.0625
445.2898 182.8125
448.7714 178.0938
432.1347 205.7266
436.4204 179.4531
433.3918 179.2266
456.4490 158.8281
462.9959 177.3281
468.4653 180.5000
469.7714 172.7539
472.8979 163.5273
465.2082 147.1016
456.7510 137.9844
484.8857 133.5938
486.6000 148.2500
460.7918 147.2266
454.8939 168.6797
447.7143 172.2578
473.2449 190.0938
479.5714 201.0234
505.5674 187.4961
533.1428 180.4844
556.6531 191.5977
477.2939 287.0117
473.0816 263.6953
491.1837 255.8516
487.4122 222.2461
544.8898 242.3906
383.8408 120.5352
379.6000 124.9063
333.1061 120.9375
290.9592 116.7813
201.5469 163.6016
188.4898 178.1953
219.0816 181.2891
219.5592 177.5195
221.4041 175.9180
201.8367 161.9688
208.9959 165.4766
200.5020 164.5469
200.7551 148.4844
228.9347 164.3125
213.7673 154.3008
212.4286 158.1836
590.8286 183.2227
593.9265 183.3750
584.6857 182.8438
229.2000 153.1172
224.3469 143.5938
239.2979 156.0000
235.7347 157.5781
232.0000 155.3672
582.1428 185.4219
218.0816 158.8516
221.3224 157.1797
241.8694 155.8242
217.7429 171.7031
400.8979 228.1875
378.3674 216.5898
262.0000 152.5625
93.3224 147.4844
335.6327 175.6211
360.1633 171.3594
131.8082 151.3750
161.3143 147.0938
180.8000 153.4844
177.3796 155.3516
161.2000 148.3008
143.0286 148.7031
138.6000 146.2188
137.6286 144.3750
146.6204 152.1563
145.8571 146.0938
160.4694 147.2188
172.5633 145.3594
182.4000 151.1602
171.9959 143.9141
173.6898 146.2188
157.5796 142.1602
150.2898 143.9063
372.4734 152.3438
143.8612 135.1953
157.1837 140.4609
369.3673 145.4727
160.2449 138.7109
376.4857 143.4414
377.8367 146.6719
170.4530 136.6758
157.4449 142.3828
435.0000 189.6406
464.8776 210.6406
274.9388 234.3828
520.4286 177.5391
598.5919 182.4844
666.7225 208.4766
708.8653 217.8672
689.0816 205.4688
663.6000 205.2031
632.6000 192.6289
652.5061 200.3906
655.8000 210.4766
645.3062 194.3828
609.0408 189.2500
594.4653 212.7500
572.7673 216.5508
549.6816 221.4336
533.6816 219.2578
525.5592 202.1836
521.7592 200.5391
513.1633 202.4883
513.0000 205.3906
310.9918 245.3906
596.9183 159.0859
688.6816 246.5000
439.8163 76.5938
449.4694 132.3164
637.8572 135.7031
647.1265 146.4258
648.2041 141.3438
117.8898 185.5820
671.5632 168.3594
663.7755 167.2969
662.4490 159.3398
230.2204 192.0703
641.0000 143.3594
641.2857 141.4883
652.6449 146.7344
665.4286 158.6875
290.6735 99.2969
266.8000 100.1055
264.8367 94.5703
220.8490 99.0000
523.5184 124.1992
472.4694 129.6563
621.1184 135.6016
410.2245 214.3125
609.2041 186.4570
622.4531 207.4375
615.8163 191.0117
597.3796 183.1719
146.9918 225.6406
479.9469 232.2734
462.9143 289.3750
433.3551 309.8711
163.8571 140.7422
214.2857 141.6094
208.8979 151.8203
207.7020 142.7969
196.3184 146.0313
210.6367 148.5000
213.0612 144.8750
212.2082 142.3750
208.7265 160.0234
211.2082 150.0938
64.2000 146.5313
72.0571 146.4688
503.6531 157.4531
486.7918 154.1563
459.6204 131.1563
617.6285 138.5195
76.7796 136.0781
612.0857 236.1563
434.4000 179.0078
400.1837 186.6719
360.5225 194.2891
328.5510 182.1602
312.5878 266.1836
496.6327 261.8281
259.2857 263.6289
293.5428 248.4063
521.0163 144.7070
602.0735 226.8906
602.7551 227.0508
562.3265 206.3750
621.2449 239.3047
625.7551 242.7344
280.0735 219.6406
583.2898 214.6875
275.8082 224.5313
613.3551 226.8828
628.0204 239.4688
599.8000 224.8359
410.4449 302.7891
609.4612 273.9141
165.2694 233.5703
264.0408 317.8555
618.0000 258.0000
615.7429 264.3281
268.3796 214.0938
360.2408 212.0703
253.1306 210.5078
256.8000 207.4375
319.1429 151.0469
661.5878 154.6250
340.0286 159.9063
422.5266 208.3672
651.3715 194.9375
465.2939 205.4141
585.2000 180.3750
385.3469 256.5469
521.5510 172.9609
475.1673 204.7500
510.3469 191.1367
509.1551 198.4023
166.1102 126.0430
519.7347 156.6328
521.2857 159.0469
525.1714 185.1563
321.3347 193.7656
328.4082 225.4141
570.0939 206.6797
585.0408 209.4297
610.3265 218.2500
708.5469 217.5781
644.2000 241.6250
658.7347 245.4570
565.4490 227.1641
209.0816 194.1875
231.7755 199.3438
628.3062 225.8906
621.9388 197.0938
633.9918 169.2031
662.2857 192.1563
635.0408 178.4219
636.6490 175.1406
643.8816 186.5586
667.6776 184.3750
473.2612 136.9453
476.2694 141.5547
458.6000 150.7266
453.8449 156.5000
451.9592 167.5391
431.6735 187.4063
407.8286 198.9570
372.1959 201.3906
315.8571 220.4063
279.6000 198.3828
275.4204 207.6055
276.0081 206.7500
277.8571 213.5469
652.3592 178.2188
669.3143 190.2500
602.9592 245.9648
608.0204 242.8516
595.8000 257.3750
581.7755 236.9453
591.1837 233.6875
571.0000 240.6797
473.9429 253.4375
574.8776 251.5977
587.6367 242.9688
587.1633 240.6250
214.9184 245.7656
590.2857 259.7422
594.6531 250.7500
592.7510 238.6406
586.1021 251.9922
577.0694 243.6133
585.5306 252.4531
588.9918 251.5000
594.5265 264.8320
584.8367 267.5938
590.1837 262.2539
473.1633 261.0391
297.4000 259.3711
448.3347 262.8438
617.7510 267.2344
277.5714 259.6797
287.7714 265.3281
505.6326 267.4375
489.3306 279.4570
492.1102 266.5625
476.1592 270.2344
498.0571 270.8242
501.9184 264.1875
436.6490 258.4766
529.5469 265.9453
439.3715 242.3359
459.5469 250.0156
480.8612 244.9688
460.1265 240.0547
449.6898 241.0313
707.8694 352.9648
297.2245 219.7656
280.4694 204.2500
262.6530 210.4844
238.0408 208.7813
460.2857 230.6094
465.4204 221.0391
496.2000 249.6875
414.0735 171.8125
484.0000 191.4961
337.1674 264.2227
571.0327 224.8594
562.3347 226.5313
458.4000 155.0625
464.8041 162.9844
398.4816 171.1484
402.2571 177.8516
571.9673 173.1641
300.0898 203.9766
300.7510 209.0273
350.8000 175.4453
366.1224 143.0234
390.0531 144.9063
402.0000 156.3477
384.2245 155.4375
368.2776 148.6016
363.9388 149.1914
417.5633 163.1250
402.3265 161.3281
389.4939 167.4805
401.0000 171.2227
442.9184 166.6172
449.6000 179.3008
680.9918 289.0820
347.6939 187.9180
275.8612 224.3438
249.1306 211.2031
253.7714 190.7734
251.2776 181.1680
295.0000 156.1875
579.6531 164.5469
303.9020 159.8906
309.9347 160.0000
562.8082 155.1953
312.6694 156.0547
569.4041 147.6055
350.6367 149.8203
568.1592 141.7031
363.1510 145.0703
457.5225 139.6016
567.4572 295.8594
73.4163 189.4063
228.3469 146.3594
270.5143 130.1094
364.3878 165.4766
277.8408 160.6328
480.4326 187.0000
495.5510 186.4375
493.2531 199.6641
589.5306 200.8594
585.9633 211.8359
603.8245 209.6211
605.9388 209.3398
472.5674 182.9844
458.7796 179.2578
457.6041 182.9766
458.4286 176.4961
603.0245 190.8750
491.8694 194.9297
486.2857 198.2852
474.8490 190.3906
505.4694 186.9492
515.4694 183.8047
510.1714 187.2383
515.3837 179.6719
520.7755 176.9648
525.4531 185.8125
536.8490 189.4297
539.1346 189.9219
516.2857 184.0234
503.2000 179.8906
496.8898 169.1953
515.8572 184.4375
514.9673 184.1016
531.4368 189.0000
542.5469 186.8516
530.2653 179.6250
532.3715 184.7109
508.3878 198.7578
635.8163 180.9766
495.9184 205.1797
500.4571 205.2031
503.0898 161.7500
470.6735 159.0273
448.8857 164.2109
468.4653 169.2969
439.9020 170.6641
552.8286 181.1406
551.0857 181.9609
607.5918 183.5313
594.3959 148.4531
145.1347 219.0273
559.9918 244.1875
637.3796 206.1250
560.1428 213.1250
249.5510 285.3125
246.3714 279.1406
512.5143 239.1563
122.7837 158.2617
259.1837 142.8477
395.0449 164.5313
372.8449 166.4023
233.2000 146.9297
257.8857 155.6523
258.6735 158.2305
265.8857 164.0859
259.4082 161.8867
264.1633 163.0820
259.6571 169.0195
224.8163 162.2578
230.6939 158.3008
200.7755 155.3438
207.9388 173.2539
213.1020 174.7422
242.8327 166.0156
245.2000 161.2148
223.7510 164.1875
459.8816 181.2852
553.6000 230.1211
330.7592 231.0859
586.7796 244.1328
574.2939 237.5313
492.5592 233.3359
445.0000 234.1758
445.1592 205.7031
439.9469 210.3477
424.8367 214.7578
426.0979 219.5156
329.0367 200.2070
379.0000 251.5703
297.5184 189.6875
285.4694 189.8125
536.8898 251.8281
541.0531 249.6836
510.7347 243.7695
569.7020 255.6211
581.0817 211.5938
131.2408 187.9063
232.0000 128.2305
330.5184 141.4219
226.2041 128.0039
350.4939 135.1836
288.8245 151.9688
560.9429 163.8945
540.8571 192.1016
536.8776 176.0742
449.8571 178.0156
411.5347 181.7031
261.3061 260.3906
262.4000 264.6250
467.7347 178.7461
541.5918 158.2813
459.0980 176.6328
392.5878 225.3203
662.0735 286.7969
528.4408 130.9023
197.5755 222.8477
181.4408 225.8047
553.1347 229.4727
551.1428 232.3672
539.8163 250.2813
517.4000 234.5859
488.6530 210.4453
488.3837 210.9844
497.8367 215.5703
512.4286 217.9375
528.2857 210.0234
530.8898 224.0703
525.6898 224.3125
520.9796 215.0625
521.4572 214.3047
376.8735 146.2344
426.8857 173.8750
431.3878 192.9688
447.6857 180.6797
447.7592 173.2734
438.8816 170.5664
441.8898 165.1719
454.4327 159.2266
455.6530 173.1758
458.9347 169.5156
425.8082 176.7148
423.4572 170.4688
387.2612 189.6680
387.9102 183.8828
