Right Elbow
248.9020 281.9375
265.8571 278.7500
265.8449 269.2422
98.8490 297.1875
99.0000 280.6211
324.4816 469.9609
178.9551 252.2344
187.9918 243.0195
177.5755 256.2266
73.5102 283.7344
77.7306 263.6250
92.3143 256.1719
93.4163 262.1719
90.6735 267.8750
537.1837 369.9102
307.4775 334.3750
345.6000 340.0625
260.2857 334.1875
521.4572 312.9766
493.1224 341.5234
376.7633 269.5391
351.0163 281.8203
294.1021 301.5547
299.0000 303.6523
331.3755 321.9375
283.0898 306.4922
313.3878 306.9141
375.2082 309.6094
381.2286 300.3906
341.1510 251.4844
376.5469 298.6797
375.3959 294.4258
320.7755 292.8672
255.7592 308.2539
220.3837 293.0156
188.3714 240.1602
196.6531 250.1563
170.0122 257.2344
238.4082 243.8125
254.2571 254.3672
324.7143 277.9141
331.5388 272.9414
362.3592 267.5313
362.7796 270.1680
372.7306 269.5313
356.3469 267.3438
409.8163 265.1055
444.6612 244.0391
424.3469 260.2070
436.0572 274.0703
449.4041 278.3164
453.2000 269.7461
431.3918 269.5938
432.5469 276.3125
430.4326 254.0313
451.0530 253.3320
425.8571 261.1875
430.2286 260.5625
334.1837 284.3438
362.8571 266.9375
419.8776 293.7188
151.4571 376.0352
90.6000 383.5039
539.0571 281.9375
558.0612 306.3672
120.4000 281.6563
100.8612 290.0234
562.3918 317.6250
575.0449 305.7813
470.1918 288.1875
80.1837 285.9570
194.3551 257.8750
559.7959 284.3984
556.6979 286.5000
562.7959 290.6719
615.5878 285.9375
614.1510 278.7422
214.4367 225.4141
118.3469 194.8594
119.4735 184.9063
168.1469 186.6484
254.7633 238.3281
100.7469 252.4453
269.4980 237.6094
264.1714 241.6641
270.0000 247.5117
270.3143 242.0625
315.0857 245.6250
360.1918 246.6250
371.8367 243.6406
471.6531 232.2813
520.0000 220.4688
562.0939 200.5703
620.5428 198.8867
515.3878 224.2813
483.7959 238.8281
519.7837 315.1250
260.0408 253.3750
460.3388 288.4570
308.4326 273.3008
481.4326 311.1484
80.0286 299.3086
125.4531 298.7188
102.0000 283.2266
102.1265 299.3828
271.6776 278.9883
123.1388 280.6250
130.5510 286.9063
124.2245 297.5156
123.0000 297.9141
447.0000 282.6289
252.4408 261.2188
165.8898 240.1719
212.3143 252.8750
224.6000 294.6758
424.7061 328.7656
422.1388 293.4688
262.7551 275.5508
209.1388 255.4688
420.4408 288.5000
262.0204 277.0000
421.7143 243.5234
456.2000 194.1836
451.7347 196.0898
443.1551 199.5000
451.6000 198.2813
458.3959 204.5586
452.5102 195.5000
455.9551 194.8711
175.4286 413.8242
161.1592 368.5781
290.8571 342.8477
49.5143 258.3867
173.6898 395.2266
226.9184 443.0508
189.5714 449.3438
384.3673 284.0781
340.0653 286.4609
336.2816 287.3711
489.7673 303.9648
408.3265 303.1016
501.9918 298.1484
502.9102 298.5273
364.8979 285.7070
308.8163 273.3984
303.3714 278.0234
299.4286 280.8750
416.6326 316.2969
381.8367 310.7852
418.0082 314.8633
316.7143 287.9766
356.4490 304.9961
404.2571 302.4844
39.4939 274.6406
387.0530 295.6953
468.6327 256.0820
458.7714 265.2891
476.4898 269.4922
471.1224 264.4453
450.4286 272.2500
454.4122 252.6133
476.6327 264.3906
492.1429 267.2891
428.4286 299.6406
465.9265 279.3828
508.7143 300.7578
345.0327 271.9609
318.6857 259.0742
320.3674 259.2891
282.7429 266.6016
278.1837 271.7813
286.9796 277.5625
265.4857 257.4805
116.5347 276.0313
223.8163 245.9219
231.1347 236.9688
114.6122 273.1875
457.5224 324.2813
409.2694 281.1328
409.1633 282.5039
164.8775 307.9531
417.9633 285.9609
409.3878 285.4063
406.4449 286.6289
230.3102 296.6406
374.1429 268.7695
362.1510 270.1094
376.6490 272.2188
383.7143 268.4375
408.5061 263.5469
412.5225 256.7773
447.7306 285.3984
297.2408 284.0352
288.0980 291.5469
304.3796 286.7031
306.6571 285.7031
308.5469 283.2422
310.5551 286.2266
306.6898 282.8164
296.8857 289.1250
47.6245 297.4766
300.4041 290.0156
326.7265 273.3281
32.5510 310.8438
33.3347 308.7188
36.0857 306.6406
39.4000 318.2617
22.3469 304.4063
14.8980 305.9688
34.4980 289.3750
29.9184 295.2500
27.6980 291.0313
38.0000 266.0859
52.1429 268.5547
83.6612 279.8125
93.2735 278.6992
94.6326 279.6094
93.7551 286.2500
77.8286 279.3906
80.7143 282.8750
78.9388 277.5156
88.4286 282.4141
96.2735 288.1680
78.0204 296.4102
112.6939 306.0000
232.4531 261.5938
360.9796 283.9727
90.7388 273.9688
613.0082 287.1094
515.2857 269.5488
168.8571 237.6797
182.6939 261.1484
174.0816 240.8672
163.1429 232.3125
166.9388 234.4609
568.9633 290.2852
480.9633 300.5313
479.8531 304.2188
424.1918 298.8438
357.7020 325.5469
278.4735 323.9844
254.5469 302.4258
486.0204 307.3984
451.4449 300.4375
482.0857 308.8984
444.3102 295.5156
371.4734 303.1250
455.7551 318.9141
448.0980 314.2344
147.7469 373.7500
143.7143 417.3594
175.1102 283.7383
171.2449 294.7813
166.1429 284.7383
152.9551 287.4375
146.6857 291.3281
157.9592 309.8984
209.1959 260.5000
210.8163 269.3125
690.0204 316.1094
678.1428 315.1328
673.7266 314.5625
244.2163 321.6250
376.6122 299.6445
168.2245 314.7344
85.1143 310.1797
240.9429 211.7656
394.2163 235.0938
356.7265 247.0078
375.8776 244.0625
354.2816 239.4805
427.8123 244.9219
440.9469 252.3867
410.8653 238.7500
189.5143 380.0078
227.4163 326.3164
183.8571 327.6797
466.3061 293.2852
455.3469 278.6250
451.5714 352.1758
141.2449 351.1953
291.8979 288.2773
268.2816 268.7969
267.9673 287.4844
248.6204 294.9102
380.4734 336.3281
371.4082 320.6875
379.1674 324.2266
386.4286 340.1406
356.7510 344.0703
267.3021 178.8984
45.2490 249.5391
406.7551 327.6289
66.7020 303.2969
35.8775 304.9219
388.5919 396.6875
93.3714 351.6719
33.9143 373.4766
369.9918 257.6094
376.3714 263.3359
47.9592 293.0156
376.1592 264.3750
396.1183 270.3125
59.3184 267.4688
89.5510 256.2227
88.7143 253.0469
627.6979 250.5000
568.7510 209.9297
637.0857 254.2656
619.6531 251.6797
586.2653 245.1055
580.7755 259.7188
561.2531 255.5547
594.5225 261.2305
616.9836 291.1484
593.7755 289.5000
628.4081 300.8828
548.9143 316.2500
603.0898 301.4141
633.1183 304.2539
531.0123 297.2422
545.9469 284.7930
549.0286 307.9102
515.4816 292.3125
518.6327 296.8750
508.9184 280.0938
521.6082 290.0547
578.1796 292.3164
509.7143 299.1641
515.4204 305.1133
577.5918 289.0156
588.9796 264.7813
567.8000 275.9492
576.8367 292.7813
531.6163 296.3750
616.6898 264.7969
544.7347 301.2500
504.0000 303.5625
596.3918 287.5703
617.1102 290.7695
606.2041 279.2305
552.0286 292.9883
567.4000 304.0313
542.2245 294.7813
621.0408 289.8555
561.1633 286.3945
536.4000 289.0117
500.4857 285.6250
517.9470 286.3984
540.0571 288.3398
494.1877 298.2109
559.1510 285.2266
558.4163 292.4453
37.7755 345.2578
492.9102 310.7188
167.4163 334.4375
133.6816 346.2695
125.6939 347.0156
299.4000 295.0625
296.0286 299.5938
298.5510 294.0781
336.3470 305.0547
330.4694 297.8555
320.4816 261.5625
318.8041 274.5234
320.1959 281.7031
294.6286 261.3125
293.8979 267.0391
286.4980 268.8750
281.8571 273.0586
84.6571 419.4922
68.2449 428.1094
179.0123 305.4492
183.0327 296.7500
208.0816 296.0820
255.6816 299.0039
313.9061 301.2734
558.3184 336.5898
448.6245 290.8750
290.3021 302.8164
562.8490 330.3359
240.5347 329.7305
502.5714 354.4922
250.9143 353.5000
280.9673 359.8438
418.7143 345.5547
451.3306 346.4297
609.3469 295.5938
616.1061 287.9141
220.4286 237.4141
208.8653 220.3359
294.5878 251.0938
293.0816 249.1641
271.7714 268.1250
262.8776 311.7344
213.9061 273.0000
177.0980 262.9063
497.8571 307.1719
468.7674 302.7656
392.6326 302.6758
385.9265 269.2852
290.6367 270.4531
321.7020 264.6836
336.7143 253.8359
329.1388 260.5195
321.3265 255.8516
331.3837 258.2578
336.2857 265.7500
336.7388 260.5625
169.2041 294.7266
155.4857 286.1953
221.5714 292.7813
226.5551 292.9219
225.2122 296.4414
180.4286 308.2891
182.3265 307.1563
138.1796 312.7500
140.8857 316.1602
133.4286 307.6250
72.4082 294.6914
37.9388 289.4922
17.1061 286.1172
35.7429 289.2188
29.1510 301.6250
12.6735 296.9609
3.1959 292.0898
44.9061 293.7305
128.2735 292.8516
126.0653 289.3125
127.6041 285.3789
118.1388 296.5664
189.6694 357.3828
32.3878 327.6250
286.4286 327.7500
344.9061 274.0938
350.8571 314.6367
359.1837 318.9883
311.6122 307.3594
283.1633 337.9375
245.6571 315.0195
239.8653 320.9023
250.3551 320.0000
248.2571 312.1055
250.6286 311.9141
254.1959 310.0859
255.5918 309.8125
260.9837 302.6875
255.2082 307.4219
255.5143 306.2305
253.2857 309.8281
260.0612 299.3750
251.4204 304.1719
264.1265 303.6719
260.6286 304.5195
255.1918 305.6563
251.3592 306.7734
228.1633 309.3125
50.1878 263.7422
43.1102 271.1133
43.6857 271.1133
41.7959 262.9766
405.9184 238.6719
391.0000 245.6797
375.0612 246.0000
353.3429 240.3242
286.0980 219.5625
293.2653 205.2734
418.7510 228.6719
304.3061 238.0313
335.6000 189.1172
173.3878 226.3125
302.0653 240.4375
303.7469 300.1953
263.1021 416.2656
269.9143 208.8281
221.0857 193.9063
219.0286 204.8008
221.2000 221.3516
217.1306 216.0938
246.2980 190.0859
243.1429 219.9297
227.8163 235.4375
221.2000 238.6133
237.8571 227.1797
238.1633 226.6289
261.8286 190.8359
243.3918 236.3164
243.0000 232.1875
257.4939 226.3750
500.0612 268.0195
497.6286 268.1719
400.0000 290.0000
111.9755 260.7109
192.5796 288.4922
185.9388 284.0000
188.1837 283.2930
140.7878 278.8672
146.1429 274.9688
585.5592 283.8438
264.4980 274.5156
264.7959 270.1875
258.6000 272.6406
268.6286 268.6875
262.2082 266.3203
266.7224 271.5313
270.4898 271.2422
268.0327 269.0391
266.4857 269.4063
265.6327 266.1289
261.3265 283.5000
260.8326 276.7813
81.0408 293.3047
82.3184 296.5742
120.2041 278.7188
108.5837 290.9883
91.0980 310.8633
592.1714 263.6250
347.4286 247.5781
400.1959 257.6250
452.6041 261.8516
519.9388 270.5859
520.3062 278.8750
554.9714 244.8477
558.6449 247.2188
237.6694 273.6055
199.8857 294.4141
330.4000 265.4922
314.1633 267.3984
340.4898 266.1406
375.5918 271.4063
372.2082 264.0664
387.1714 269.5859
384.1959 271.8438
356.2571 270.4609
408.3878 313.2148
338.4408 227.5703
434.0000 215.6250
575.2327 250.3750
624.9714 230.8359
622.7061 231.6719
634.3715 213.3516
634.9592 212.3047
643.8000 220.5625
576.4367 280.6484
84.8041 270.7031
629.9592 239.5898
541.4572 287.9727
486.1633 386.5859
492.8571 374.0313
413.0041 375.4375
586.8245 368.3125
567.6571 352.9766
109.5306 418.9688
494.9265 374.3906
210.3184 309.4531
172.7959 316.1484
132.0490 338.2305
157.1633 341.0938
465.7429 377.9102
159.3224 368.9688
97.6857 377.9844
285.3224 356.8516
274.7959 340.2969
368.5306 316.6992
372.2857 324.4219
371.9837 312.3008
386.5020 319.3594
415.7878 303.5938
118.3592 298.4219
159.3714 323.2734
173.3143 320.0469
164.6939 339.0469
180.3510 394.4609
63.9755 350.5859
410.6776 319.3516
208.3265 189.1602
556.7469 352.1797
559.4286 357.7148
270.3429 402.5156
555.2327 297.0000
555.4816 300.4375
550.0286 295.2734
540.3592 298.8086
539.4898 294.3008
562.1633 267.3906
568.3755 263.5781
568.0408 259.2500
567.0286 267.5352
565.8979 275.7656
566.9388 233.9375
560.7388 212.1250
569.6857 244.2344
584.6572 231.3750
554.8653 228.3359
534.0694 261.1953
529.1429 248.0313
555.7551 267.2969
564.1714 272.0352
581.6816 276.8164
616.7143 262.9844
632.5714 275.9609
314.6612 417.2148
365.8776 343.5547
352.7347 344.5781
349.5837 377.8359
333.0041 368.7578
252.2735 185.4766
274.2694 198.2188
220.5918 221.7422
166.8041 222.7656
97.1469 276.4336
94.8571 270.4102
132.7551 257.2578
128.3061 253.5742
120.8980 231.8164
109.9755 246.3555
116.8408 233.4219
109.2857 237.3750
106.8122 232.2734
129.0816 230.2422
116.8775 227.8828
116.9918 225.4258
512.3428 215.8281
515.9510 225.6250
508.4572 222.5938
111.4776 221.1016
111.9388 222.0977
119.2898 230.8125
116.2245 229.8516
106.0000 229.5117
506.5592 206.3438
113.1633 230.4297
112.5755 229.1523
126.0327 240.9023
60.4857 282.4453
282.1224 339.3125
239.4286 336.8398
217.6000 222.3438
45.6490 212.0313
321.8694 246.5820
315.2653 230.5703
76.7796 222.2500
108.9429 214.2813
116.0000 204.8828
107.3388 205.0156
101.3469 216.2891
73.2000 203.6367
68.7837 215.8281
68.4612 211.8750
83.1592 215.5313
80.6163 213.1875
84.5510 202.9063
101.0408 205.9063
107.9551 197.6211
96.6531 206.2734
95.2286 199.7188
89.1633 204.4766
79.5388 201.3125
302.1224 206.7188
74.2122 202.2266
86.1633 203.1914
297.5306 204.8906
92.5347 204.9297
300.7143 204.6719
292.9796 203.5859
99.0286 195.6094
87.8286 209.3750
545.2041 310.1758
585.2857 292.3594
112.4245 399.8828
610.4286 231.7188
516.3469 238.1719
556.5673 286.2500
609.1755 280.9727
601.5306 287.4375
590.9470 274.9531
570.7143 270.6797
568.2286 257.0625
559.5592 254.0469
532.0817 257.9648
511.8776 266.5938
512.9143 296.1250
495.3633 292.3047
488.1265 300.0195
462.8000 312.6172
440.9633 300.8164
451.7184 306.4688
446.6898 292.5117
442.4286 301.8750
289.3959 346.8984
511.7918 227.4063
523.0694 392.6797
380.1633 163.5000
374.9796 229.0547
546.3878 210.2969
528.8367 242.0703
521.4694 237.0156
89.2449 285.7422
571.2898 208.8789
572.0204 207.4922
569.3878 216.7188
127.3877 274.8711
546.7143 210.0859
544.1429 217.0273
543.8123 234.1016
559.2286 217.7500
223.2041 145.7031
195.0939 144.7852
192.3469 147.4805
140.9143 149.0000
457.5347 161.1953
416.3224 193.1484
534.3755 181.8867
259.6122 326.9688
512.7755 310.7344
510.4775 310.1250
515.3673 308.9258
519.3878 298.0156
269.3837 369.1563
601.2367 317.0234
323.9429 393.5781
330.4245 424.4805
109.3918 206.4453
158.2857 196.3594
163.6082 206.6250
149.6612 199.3438
146.3592 214.8125
149.8204 210.6563
148.4082 205.9688
159.2000 215.7813
163.2000 216.7188
147.3265 220.7813
132.6000 192.2500
128.5143 188.0313
482.1021 220.3438
407.0408 219.6563
350.1959 206.4141
537.8286 218.3359
144.9592 218.1094
575.5714 327.5625
558.6613 278.3320
495.8163 272.0391
448.8817 257.0781
400.7959 249.4063
220.2612 335.6172
406.0204 323.8086
156.4286 359.6602
243.5714 286.1992
460.2000 193.3008
517.3387 300.4219
515.1633 300.4336
488.8571 261.5703
531.0817 294.9258
536.9388 300.1406
204.9265 276.2461
502.8163 270.6211
208.1510 282.4688
530.8123 280.5352
534.9796 302.7188
508.8286 302.6484
590.1265 307.9922
379.2571 393.7578
45.2449 362.1719
227.2245 413.3750
508.0000 309.7500
508.0286 309.0742
89.7225 298.7500
448.7388 269.4453
118.6204 311.9531
121.0286 332.5000
241.4286 201.2344
606.3878 195.1250
281.4572 202.0938
345.6286 270.0547
570.6285 275.6563
390.1918 282.1133
433.1674 303.8750
290.9469 362.6797
385.4490 344.9688
385.1592 355.8750
397.8979 310.5938
404.7959 327.3555
45.7673 160.4727
405.3510 308.1406
392.9592 303.7500
404.9143 347.1797
200.5674 389.3281
214.1225 401.1094
497.2122 262.1875
513.3020 278.5703
534.1796 284.3750
592.0408 387.5938
557.2368 343.3438
586.7755 345.8750
522.4694 314.6055
205.6286 311.5938
164.0204 316.2500
548.0286 253.3125
538.2653 232.2852
544.8326 212.8438
578.7347 244.9453
553.8571 248.3750
555.9796 242.2891
585.4326 244.8398
575.0817 249.3750
401.5184 192.6445
401.5592 195.1016
386.2449 220.5508
360.1714 220.2500
360.9306 241.2500
335.8286 288.3984
278.2531 291.9258
252.2939 309.7422
210.0000 337.5469
119.9143 322.9883
126.7510 297.4297
122.3837 315.5000
105.4286 288.8672
610.6245 255.1250
606.9429 267.8750
521.5878 314.0781
505.0816 318.1094
513.0000 328.5313
482.3469 314.9766
477.6490 313.6406
499.6531 327.7422
408.2286 309.8750
496.1184 323.0781
486.0204 319.0938
490.1021 330.8750
130.0612 355.0313
522.4000 340.6016
493.4857 335.1250
499.7959 323.8594
508.5510 329.5313
513.4816 335.4766
522.6082 326.3281
490.0857 346.8125
491.4857 358.7773
501.0000 346.8359
484.8367 362.1563
419.6122 338.0156
177.9143 372.0586
387.3061 334.0469
539.8245 334.7344
143.3429 347.8516
158.0857 356.8750
426.7632 340.5195
403.9592 358.0742
404.9347 359.5859
402.7633 353.3945
432.9429 347.9219
428.0816 342.9375
293.3510 331.3906
430.8245 342.7266
304.7429 362.0039
318.8286 365.9531
331.4408 333.5313
319.0980 335.9453
290.9592 347.0625
499.8571 393.4414
156.3469 332.3086
136.2122 342.0625
135.0204 360.0742
95.0204 375.7930
360.7959 295.4961
363.8612 318.8906
375.6000 328.9219
327.5184 245.2422
351.5714 284.1367
196.7673 318.6992
409.4367 318.6094
418.7061 312.4219
414.4653 209.9063
383.6939 214.1875
325.2082 231.1953
327.2857 238.8906
487.4653 214.6719
361.9837 282.2500
341.1959 262.8867
289.8326 242.4648
309.8939 235.4727
318.0367 218.7344
314.5714 228.3711
306.3061 229.8594
283.6449 233.2500
288.9388 236.6953
325.0735 243.7500
314.0980 243.3906
302.0530 252.8398
303.0408 256.3320
344.5919 238.2422
339.0653 302.8750
626.5266 317.5000
471.7143 347.9336
417.5959 313.3867
379.4490 301.7656
344.6857 264.8750
348.7225 264.3672
373.8571 257.5938
661.8163 227.8867
393.3061 221.6484
392.0408 224.7500
626.8735 215.1367
387.0204 220.3281
631.5592 217.8984
422.6041 216.8984
612.4081 205.0547
433.0939 211.1133
510.6816 183.0547
441.1143 414.5313
18.0163 214.3281
190.3388 203.1719
235.6898 201.0078
311.8245 213.5156
213.2612 220.3984
398.6000 265.0000
398.6122 260.2109
399.6490 258.9023
526.8367 298.9063
528.7469 313.0703
544.9836 287.4922
541.9388 297.0156
441.7429 260.1719
469.7265 241.2813
465.9755 249.9141
421.3143 273.8203
508.8653 232.3125
399.2163 278.2500
395.5510 297.2422
402.5102 270.7891
423.7959 247.3789
438.3265 248.0625
425.9429 260.1211
424.0857 257.6680
440.8898 239.7422
439.3388 251.7266
446.9143 244.3359
448.7673 262.2031
435.1102 272.7109
422.2000 284.3359
414.6776 274.3125
419.1510 283.6094
422.4939 290.6172
435.6327 271.0000
435.8694 270.0313
416.1592 264.2813
416.7143 267.7266
367.2776 287.1875
572.5102 274.9570
346.8571 289.9453
351.3143 272.4922
378.4367 263.5781
348.9510 274.9531
320.6572 249.9766
350.4490 256.3086
345.0286 243.6328
468.6000 284.7109
476.9143 279.7656
491.5184 248.5000
515.6000 225.6250
5.4531 350.6719
472.4980 305.1875
598.3184 249.1797
471.0000 315.3906
65.9673 413.5156
94.1143 435.5859
365.0286 351.2188
39.0653 290.8086
158.3674 226.3281
343.9755 231.4688
302.1184 241.9375
149.5428 249.7188
152.2857 251.8750
156.1837 243.2891
167.8286 243.3281
164.2245 248.3242
162.6490 252.5977
168.2286 251.4609
148.3388 253.7500
155.0816 253.4336
156.5224 254.1250
171.6122 244.0938
170.8163 242.3359
157.0816 233.5117
157.2000 238.9570
138.8857 260.0625
361.3592 240.8125
423.8000 340.4727
203.2816 328.7031
344.9265 301.3594
409.0612 351.8594
348.9184 352.6172
272.8367 336.7852
265.4286 311.0781
240.1347 298.2383
248.6408 331.7070
262.9429 330.1406
222.4980 282.5195
309.5306 370.1875
203.7714 286.4844
190.5469 299.8984
430.9959 362.4531
432.0245 350.0508
399.7347 359.5156
415.0612 395.6133
489.1429 307.1992
73.6082 283.0391
169.1429 189.8906
261.1796 192.8125
161.6735 189.8281
281.4857 197.6211
260.4531 233.0625
454.0082 257.1367
421.3714 272.2383
439.2449 279.4141
397.2041 262.3906
337.1837 316.0195
156.0204 353.3594
157.4857 353.7422
386.0612 226.0898
468.6939 220.3125
378.8204 251.9531
269.2327 282.5703
483.1021 427.5625
466.5551 270.8047
99.1102 297.4414
66.2531 347.5664
456.4490 307.7656
466.2122 323.8906
465.7959 301.6445
443.8000 289.0391
429.8776 311.4219
414.3265 297.5000
413.1429 290.1641
442.2082 286.6367
456.0000 310.5234
455.4898 293.3281
452.0367 304.7031
433.7592 292.2305
445.2857 299.4297
305.2980 168.5000
325.0571 278.2734
316.6122 286.8125
328.2571 275.0156
320.7959 280.3242
313.6000 265.3242
310.2000 253.0000
328.2531 245.4141
330.1306 236.7930
332.8612 224.4102
317.7714 257.3164
316.0286 255.1250
292.0163 283.4180
299.3714 272.3359
