Left Elbow
691.4000 333.1094
536.9714 334.4844
539.3265 357.8789
444.6122 310.9063
428.5714 312.5508
464.5714 301.2148
469.0816 315.6406
504.4898 297.0781
352.2000 248.0547
459.1469 235.0820
426.9184 233.1563
404.9755 240.0898
363.6653 241.6953
379.4898 233.2500
343.1714 236.8711
324.3714 227.8945
326.3428 224.2656
319.1143 235.8672
663.1429 236.0313
591.5102 229.1484
502.1143 245.4063
483.4612 282.1250
391.8857 295.5625
377.3306 304.6250
333.9265 288.3516
203.8449 293.3633
144.4000 265.1406
139.0735 265.3750
198.6735 283.7344
204.6531 259.4648
206.2327 231.4375
205.9919 247.9141
196.2571 282.0469
142.2245 264.8125
183.0082 287.6094
240.6000 266.6758
201.4408 279.8984
183.4326 279.4063
459.7918 284.5352
304.3959 297.9297
311.0123 283.4531
386.9633 291.1367
401.3714 303.8438
407.7918 291.4844
170.5633 282.8047
173.0000 268.5977
585.7429 446.1563
313.1306 278.7031
291.0775 268.7773
307.8449 267.8281
149.4286 255.2578
182.8408 265.4375
179.0081 265.8203
184.6653 258.1953
145.9878 263.9141
588.9877 389.0234
506.9551 331.9375
544.3429 348.1250
178.0000 284.6875
587.0000 300.2734
657.5714 329.0078
470.2408 312.1367
488.6000 328.6484
279.5714 292.4531
353.0000 301.6484
242.9429 283.4219
358.6816 310.2813
342.9714 273.5859
295.0490 284.1680
294.1674 261.5625
276.7673 247.5781
332.4000 268.1641
352.1021 269.3242
406.9796 298.7500
423.1102 284.9219
419.1918 290.5859
292.8857 254.3789
304.1021 250.1563
310.1918 257.2344
330.8571 260.4766
331.9143 230.2969
402.0286 249.6133
410.1347 267.5195
470.5796 257.5117
470.6776 262.5508
488.5633 269.5313
487.0000 279.4375
606.0653 256.6523
635.8245 271.0859
615.5632 262.1953
627.1429 261.0156
638.2857 265.9648
632.5714 269.7461
629.3633 260.8750
626.8123 268.1250
618.5143 263.4688
615.9183 263.0352
612.7142 263.4180
626.6041 230.0938
450.6531 266.3750
508.5714 289.2305
575.3878 287.4844
362.8612 362.5117
295.0000 341.3750
577.8735 297.5000
556.3265 301.1523
327.2000 288.2656
320.9102 316.3633
679.9265 330.4375
695.8448 337.8750
592.5674 303.2813
198.2449 292.5781
319.4000 288.6875
469.1837 291.7344
466.8204 286.5000
467.3878 294.1406
516.7347 295.6875
534.1674 281.0625
142.9265 205.7344
261.8367 220.6719
265.7878 215.1211
320.2286 230.6250
379.8816 231.8906
38.4367 223.1328
382.6245 239.7852
385.8367 234.1445
385.7143 243.2344
389.6286 246.1875
419.4857 255.5625
439.4245 236.2891
268.2857 233.1172
460.7306 235.9297
542.7143 217.4375
604.2653 211.0977
621.9836 210.4180
604.4898 214.6875
384.1592 250.1484
692.1021 292.9336
429.8367 306.5000
684.4694 253.3789
458.7102 309.9414
705.5878 272.3203
217.4653 288.0391
236.4694 294.9531
218.5714 291.8008
223.7265 296.8945
401.4735 304.9453
242.7469 282.2852
252.3265 282.1250
264.5020 282.1484
261.2857 280.5977
649.0000 288.6406
409.1755 301.0000
377.0816 273.7383
370.2041 287.2500
376.4000 314.5391
641.9225 286.3281
651.4939 280.8906
401.9878 299.7031
367.5143 307.4219
628.3265 260.5000
285.9225 298.9141
480.3061 272.2266
552.0286 180.6484
547.1796 188.8477
542.0775 187.6250
552.4000 189.8594
559.3551 185.6211
552.7551 184.2500
548.3959 197.3008
522.5714 400.9141
472.0653 420.8672
209.1429 332.8164
167.9347 258.3867
459.3877 412.8086
514.7877 413.7500
525.7347 417.3750
239.2653 260.2109
228.2735 260.8125
313.8245 269.7109
612.6572 303.9648
412.3673 292.3203
633.0612 310.9180
628.3715 307.7461
198.8653 264.4375
426.8775 269.7656
431.1265 283.1172
429.4286 286.4531
548.8776 307.0977
532.9551 297.1914
519.2653 294.9688
209.8571 268.5625
236.9388 281.5117
298.8857 283.6563
184.5224 284.9766
514.7429 280.2266
582.2653 277.3516
561.2857 268.2656
560.0000 270.8438
549.0612 269.9141
547.4082 261.9688
568.7061 268.7266
555.0612 248.1914
561.9796 263.7500
492.4286 288.2344
569.4082 280.6602
532.4694 300.7578
451.4204 260.5039
448.9429 273.8125
447.7143 269.1133
415.7714 262.4883
416.7551 277.7344
413.8694 268.0703
388.0571 266.9141
235.9796 252.8750
349.9388 258.5547
347.3796 258.7656
244.4081 271.0195
565.1061 298.5000
616.9429 242.0508
619.4490 244.9258
221.6939 280.4453
589.3837 275.6289
580.2041 267.0469
579.5510 271.0898
331.3878 256.0352
397.7143 274.3750
402.9020 275.2188
405.5837 275.6250
400.8571 273.5938
401.5755 278.5273
391.1551 272.4609
334.6694 275.2383
389.6898 285.2656
380.5061 281.1758
427.7551 264.9531
434.7714 272.2344
433.8123 268.4648
430.8612 262.2031
435.4081 269.7109
423.0571 266.8125
151.6327 312.5938
426.6613 263.9141
456.3918 281.8633
148.8776 319.0156
148.3510 321.0234
153.9510 315.4492
153.4000 321.8594
153.3674 317.8555
154.9796 318.5469
178.7551 323.1250
177.7796 325.2500
186.0245 319.1563
206.0000 270.1016
227.6000 278.4375
207.7265 277.9844
215.2408 247.6875
200.4612 268.2656
200.8367 270.6875
168.5143 271.4844
178.5510 275.2031
206.2857 234.2891
199.1714 264.9063
190.1184 286.2109
181.8571 270.8672
226.4612 308.0000
389.8408 269.4688
444.1224 228.5195
180.1225 260.7852
545.2694 283.3516
593.7143 280.0254
83.6082 256.4688
40.1633 237.3828
53.3469 251.5078
76.7429 240.0078
73.7061 251.7461
661.7632 286.4961
332.4694 298.3125
439.8612 307.6953
389.0082 321.7969
342.5674 320.5078
355.1714 309.6719
348.3551 304.4219
549.7306 324.7656
519.8612 320.5938
490.1183 320.9688
448.5225 303.9531
552.3061 303.1250
592.6531 322.0938
592.0327 321.6406
473.7143 382.7031
475.7061 414.8750
296.1918 275.1836
278.2653 269.4688
274.7143 279.0039
262.0082 275.4688
258.7510 274.0313
250.1061 262.5938
316.6326 276.2500
319.6326 271.8438
569.1021 316.1094
549.2857 311.9844
545.8408 314.5625
263.7429 312.6016
451.9592 308.3398
216.5510 299.6172
227.0572 291.5742
441.4122 199.0625
605.5592 251.3633
588.1674 290.4023
560.8572 229.2969
589.2449 232.8828
656.5959 251.2852
664.3591 254.9297
500.5878 254.2188
385.3102 318.9766
495.6857 337.7031
495.0000 367.2422
544.9429 359.9297
584.4082 371.6484
602.0000 370.7305
305.2041 351.1953
448.5837 295.7617
421.4163 272.7266
402.7878 305.6250
397.2245 308.9922
670.0163 345.5313
672.5837 259.7500
666.8326 269.3438
669.5918 332.4648
655.7714 333.1641
505.6857 299.7031
134.6857 256.2969
528.3673 327.6289
352.6449 264.6484
301.5428 321.5625
631.0164 375.3984
368.5388 346.4688
340.0775 404.1992
465.2245 250.0859
478.3428 246.1094
224.5306 259.2656
458.5918 255.6523
477.6122 253.2500
150.5878 256.6406
181.4490 257.3828
177.8571 256.7734
561.7877 247.5000
561.7143 245.1641
565.3387 252.7383
559.4081 257.5703
551.6245 252.6250
526.2245 263.0313
533.6285 258.6250
547.7469 262.7891
555.0898 287.5078
499.4408 287.7500
609.3062 324.3008
566.1061 333.5000
558.7306 342.4766
568.2041 329.8203
560.3633 323.1406
545.9469 311.7852
598.4816 304.1055
571.7959 303.0625
573.5755 312.6250
589.2980 314.3906
583.4449 309.8672
571.1755 311.0352
572.5061 309.6484
576.0653 297.9727
645.1346 281.7500
649.7143 277.4570
638.0000 294.1875
620.3062 289.8750
608.2000 299.0234
605.1306 285.0859
625.4490 294.3125
624.0000 301.1641
615.9183 277.7891
604.4000 280.1641
614.1021 289.7773
607.9878 302.3438
623.1143 295.0938
612.6898 297.5000
622.8776 302.7344
601.5306 288.1484
575.6000 272.1602
579.0979 290.8750
593.6041 291.8125
606.4286 291.2344
605.3715 294.5078
608.8326 273.5078
615.7224 292.4453
175.1633 318.1914
636.0612 317.4453
338.1592 312.0938
310.0612 326.1250
311.4490 311.7422
395.4000 280.6484
395.4572 319.4688
394.0612 310.8125
184.4612 296.0117
137.5510 249.9102
177.2571 275.8281
186.4735 265.3633
180.4572 266.1875
166.4857 260.1992
142.2857 274.9844
148.5714 271.7500
148.1429 284.6250
320.5428 404.7266
329.2816 432.6953
328.6857 288.1328
352.4857 302.0000
398.3674 284.7344
440.5306 301.7266
443.7796 309.5820
636.8000 321.2266
490.1184 271.0234
386.1551 283.2520
628.6285 322.6016
353.3837 350.9648
543.2857 354.4922
352.3265 352.2656
383.4980 353.4375
346.7143 350.6875
370.0898 346.4297
484.0204 287.1563
506.4734 285.3359
305.2857 245.2656
302.1224 231.9844
487.1592 242.8203
484.3878 235.1328
510.2285 255.0000
553.7429 300.8438
249.2980 276.6563
286.8326 268.6875
313.2857 304.7383
313.8939 292.0039
282.4286 311.5039
305.1102 272.5117
316.3021 268.8477
351.6041 259.7031
344.0857 256.2891
341.0530 260.5195
354.6735 261.1250
349.8735 259.4883
380.8571 263.8906
380.7878 266.3438
298.2653 257.1797
326.2286 269.7266
319.8571 283.6563
313.9347 282.0000
311.5388 282.6133
289.0000 286.8906
293.3837 288.8750
273.7551 304.2500
280.9551 314.6563
309.4286 314.4922
284.7143 315.3555
267.9388 301.2500
256.9102 297.2500
245.6571 293.7344
266.4408 301.6250
230.8775 305.8047
236.1021 298.8750
265.7224 307.0195
275.6694 276.9141
274.9633 283.7227
276.2082 287.1953
281.1959 276.8438
141.5061 378.6094
79.1714 319.1094
434.9184 252.5000
494.1959 292.7617
369.2653 328.0430
379.2653 327.3672
386.2041 317.7891
387.9592 326.6719
383.8857 313.3281
383.3265 312.6797
398.6530 323.0000
392.0286 312.1055
397.8041 320.3906
401.7592 316.3750
405.0286 315.3438
400.7225 313.0625
400.0735 301.6914
402.2571 308.9727
397.5714 309.8281
396.2653 310.9063
401.7143 310.7734
404.3388 314.7578
406.8286 314.3008
394.8735 313.5313
398.6245 313.4727
380.3265 318.8438
148.2000 260.4219
158.5388 262.8516
154.1469 266.5664
161.6408 265.2344
494.2653 231.8750
477.8571 252.5469
467.1837 253.5000
479.0571 224.0234
426.2939 222.9492
442.7388 226.9219
497.6938 212.3203
388.0612 208.6563
434.8000 194.4258
269.9265 209.6875
384.2204 205.4336
536.7102 290.9844
397.3470 347.7969
164.7714 207.5117
339.4816 201.0781
350.0776 211.5391
368.2000 203.1719
401.1469 203.4609
411.0653 150.2188
394.7714 176.2773
381.6939 187.6250
379.6000 185.0898
403.0000 211.6172
407.4286 220.1250
432.2327 233.9844
420.8204 221.0938
420.1429 224.5938
422.7755 221.5117
372.5918 296.4180
366.6245 299.0469
394.0000 290.0000
113.4980 271.3750
217.5918 290.0586
279.3265 302.6875
286.8163 296.4883
281.9224 313.3398
273.6857 305.8477
699.7796 289.0469
466.1469 292.0781
437.3061 268.0000
439.1714 270.3828
462.7429 250.5938
478.7959 237.7813
471.6204 242.7656
472.6776 248.0820
477.8286 231.2813
463.1143 246.0742
461.6531 243.0430
466.5714 221.0625
458.1225 219.5469
238.1020 303.9492
239.9837 303.3906
270.0816 292.6250
270.4775 297.5625
246.7551 275.6094
708.9429 279.3047
457.9388 240.5938
512.2286 237.4375
560.9469 233.4922
677.5469 250.3906
679.7837 242.9375
628.2449 235.6836
622.6367 248.8594
396.3143 279.6406
391.1143 282.5547
403.6000 255.9297
397.7551 267.3984
444.4081 272.9766
475.4081 264.5508
506.4735 270.3945
506.2408 282.2461
498.8816 286.4063
504.6000 290.6172
523.6938 313.2148
444.2368 231.5313
477.3428 194.6719
520.2449 219.5078
536.5143 208.7578
537.6531 211.3477
567.5143 204.4453
561.2449 212.3047
571.0000 209.3750
433.5877 280.6484
31.4653 236.7969
506.1388 223.9258
575.1143 296.8203
647.5021 270.0547
615.7143 311.0391
587.3551 372.4766
687.2939 421.9375
681.8286 399.5547
263.9388 401.1094
661.8041 382.1250
295.3306 299.0430
300.6327 313.7773
268.4081 319.3867
308.7796 335.5391
631.6857 368.4766
312.7755 351.2500
259.2571 320.7539
442.6776 328.4063
376.2245 340.2969
527.9183 310.9023
525.7143 324.4219
534.2286 327.8164
539.7102 327.3477
564.0653 311.4063
271.3143 272.2813
306.7714 283.0781
319.0286 312.2656
303.1837 308.8984
349.8204 356.2813
184.5020 317.4453
318.0122 302.8477
302.9388 190.4063
394.9551 349.9570
392.1143 345.7461
260.7429 394.2891
431.5469 273.3750
430.5184 275.1250
428.0694 305.4492
419.4122 274.1797
417.8653 276.1992
439.8367 250.8047
454.8898 264.9258
452.7429 264.5000
457.9429 251.7383
459.6122 249.1328
456.0980 229.3672
448.2041 206.4219
472.7714 218.4688
483.6286 238.7969
456.5796 225.5391
444.4367 243.2891
432.0000 246.6016
460.5510 260.9688
471.5143 254.6172
488.6531 258.7109
525.4286 251.3828
543.1837 261.2891
487.3021 402.1914
481.4898 341.4531
491.1837 340.2500
493.9755 327.4336
567.5919 378.8672
398.6653 192.8984
387.5796 198.2188
353.5633 199.8281
333.5796 174.4219
220.7224 214.6953
170.3673 232.6172
163.8327 226.1797
164.1143 236.2891
163.7061 231.8164
195.9102 213.7852
158.5714 222.9688
191.8735 210.2188
209.7020 189.8203
219.8571 205.2344
212.6000 206.8594
210.6612 202.4219
621.4572 242.6797
616.6694 258.1250
619.4857 257.3750
280.9265 190.6875
284.2980 189.6992
276.6776 207.1875
268.1021 209.9141
278.0000 209.4727
604.6571 243.3594
265.5918 210.5469
271.1102 208.2148
307.5102 200.2969
234.9428 265.2188
404.8571 317.4844
384.0000 299.2617
265.6000 216.3281
107.6245 201.2734
342.5143 235.1367
363.5306 221.6328
137.0490 213.0625
169.3714 194.1250
179.6000 202.4922
182.4735 206.2891
168.1061 202.4609
148.4000 198.2773
148.7551 201.9063
148.8449 191.2500
155.1633 200.9063
152.9102 199.0625
170.5918 197.8438
176.2000 205.9063
183.6204 203.7344
177.9755 196.6797
177.0286 194.7031
164.6572 197.4219
154.2204 196.0938
373.6082 207.8516
155.4694 195.7813
161.9184 197.2734
376.1021 207.1328
167.9102 196.0156
377.6000 203.5586
389.9592 196.3203
176.7184 193.1016
169.4939 199.9961
424.7959 283.6172
462.8367 300.5313
292.9959 363.6797
506.1429 243.1250
608.7143 249.5625
679.4327 283.4219
710.2694 304.8125
694.4694 290.1250
679.5837 273.5000
642.9143 276.5703
658.3184 278.8594
675.5755 275.1719
670.1224 264.1680
630.1633 253.9375
596.2776 279.8125
581.5632 271.1641
560.8735 283.1797
550.4694 295.8125
537.3633 290.9531
535.7673 282.0234
526.8490 280.7695
520.4286 272.1875
317.6367 303.6328
598.2081 231.2734
701.9306 403.7539
465.6122 126.4844
465.8571 218.6367
663.2653 228.9453
661.7102 230.7227
662.8979 225.9766
141.3265 267.5313
659.2490 258.2070
654.6000 259.1719
668.6531 238.4297
232.2367 274.8711
668.4286 206.6641
666.4286 211.3047
680.6776 214.3203
667.1143 253.1875
299.9796 149.1836
275.0286 148.3125
275.4081 145.9688
233.3388 137.7500
530.2286 162.3164
494.6326 190.1953
629.0041 190.9180
402.1918 347.0859
634.0000 310.7344
620.5225 329.5000
611.4490 319.8438
599.6735 311.7969
141.7837 343.0625
456.2163 338.2109
477.5428 386.2656
427.6367 411.1094
175.2041 186.0547
220.0000 182.6719
212.4735 201.8594
211.5714 190.3477
208.5306 188.1875
215.5020 191.1563
218.4490 195.1875
217.6449 203.5469
211.4857 208.4219
220.7224 200.3906
54.6000 194.6563
57.2000 193.9688
527.0000 213.1563
486.7918 215.5625
476.7592 202.4531
645.3143 197.1602
47.3918 199.3594
638.4572 268.6563
413.3388 284.6719
388.0122 259.8438
355.1674 262.4219
319.9796 239.6250
321.8204 344.8750
510.2245 341.9492
278.1429 359.6602
307.1714 319.4570
534.3959 188.4414
610.5469 304.6641
612.2245 302.8008
573.3469 261.5703
625.0817 323.6953
628.3673 324.9297
310.3959 272.2969
584.5878 270.6211
299.9714 286.0898
623.8367 310.6328
628.0204 328.4141
604.6735 305.8906
384.4041 313.1953
655.5021 426.0234
188.0327 306.1680
289.1429 413.3750
629.2245 363.7500
628.0531 355.3633
335.1306 231.8125
342.3020 270.6406
331.7673 237.4219
330.0735 239.7813
324.8571 203.5156
669.4735 196.2500
348.2286 203.2656
431.4980 263.6289
693.6653 255.1563
477.3102 268.5781
632.7102 237.3750
394.9796 349.1719
540.3959 300.9180
506.7918 346.1250
532.8367 285.8008
533.7102 293.5820
207.1061 167.0938
528.9592 263.7969
526.6326 266.2344
532.1428 298.3984
335.2694 359.0625
336.5714 374.5508
573.5102 262.1875
587.8000 277.1875
613.2000 290.1250
712.1877 327.2656
652.4041 303.9688
683.3062 307.1172
592.5102 306.6563
238.4326 311.5938
226.3551 297.2188
639.2531 322.7813
603.5306 272.5039
598.7429 237.7813
631.4081 257.6875
625.4898 262.6836
624.6979 267.6563
643.8816 255.0391
641.6857 254.2500
483.5102 188.0977
486.7755 193.9375
477.6408 205.3164
467.5837 216.5000
470.7429 239.8047
451.1674 272.1094
432.7469 276.9844
412.1633 302.6758
343.7143 318.9531
340.4327 302.6445
257.4775 320.5273
257.2735 323.0000
253.5714 325.3125
640.6735 271.8438
660.8857 298.2500
621.8490 328.5703
631.7755 322.0703
621.4286 344.3438
606.6327 330.9375
593.0449 328.5156
586.5102 332.4063
485.7714 303.3125
579.8000 340.3320
617.8041 339.7109
617.9388 340.3750
233.1021 348.9609
620.9959 358.3906
619.0082 338.8750
602.2041 339.6406
596.9592 348.1406
593.5551 351.9648
605.4816 352.4922
619.4245 352.5313
603.8939 358.7773
597.7347 366.2422
611.9796 362.1563
482.3061 341.9297
360.6571 395.5352
459.9592 335.5000
624.0694 370.5938
326.1714 387.2969
353.8857 372.1328
513.9347 339.1406
487.9755 348.5859
496.5428 353.6797
472.0816 354.7578
496.5428 346.4102
496.9959 347.8594
455.8980 372.1367
535.4408 335.3438
461.0857 370.7070
476.1020 372.1641
484.2571 364.1875
490.3469 348.5625
447.8653 341.5781
709.7102 391.6016
304.3878 322.7305
296.4980 314.5000
273.4694 327.5547
238.0408 320.7773
466.9184 295.4961
469.3265 299.3203
498.0000 330.7227
440.4163 232.0625
498.7143 273.6094
347.1959 304.3633
588.5551 342.0469
569.7959 318.0234
462.0612 212.3438
463.0408 226.5469
415.1347 251.2109
418.6571 262.3672
580.7959 225.9922
287.3469 300.4531
320.2245 285.3281
374.2490 259.6094
392.8979 159.1016
426.0612 192.4844
405.4286 252.3789
389.3061 251.8477
375.9714 227.0938
380.7755 229.0195
427.6530 253.8281
411.7796 248.1250
406.0367 255.2109
412.4286 259.6055
454.8367 269.5781
466.9388 289.8672
684.3959 337.9609
343.4898 238.4492
255.0735 322.8594
229.0816 296.7344
236.8571 256.4063
231.5061 261.5469
269.2857 228.3750
572.9183 234.6250
284.5714 228.9141
281.9837 233.5000
545.4572 209.8086
302.5306 213.5625
557.8939 205.2227
339.4694 208.2031
562.1796 199.0781
350.6612 203.6367
451.4816 191.5039
573.2000 383.9063
79.0694 225.6563
254.4776 143.9922
280.8326 184.2500
363.2694 212.3984
280.2327 218.0078
488.4163 271.0000
507.1837 258.2695
501.1633 254.9531
603.2449 273.4141
601.9306 289.0938
607.2857 280.5703
617.6938 287.8555
484.1265 271.7500
477.0245 257.6992
474.3469 226.0078
470.8000 268.5117
611.0041 281.7188
486.3102 291.2109
506.4490 268.9688
474.8490 270.7891
514.3469 263.3750
535.6735 253.5703
519.7429 277.3828
526.7959 280.4961
535.9918 275.8867
534.4000 242.7891
548.5796 265.9063
551.1837 274.2500
536.5796 269.0156
519.4000 271.7305
516.6816 265.1719
538.3469 267.8320
533.7755 270.2539
539.4204 291.0000
548.4735 275.9727
546.0041 268.2188
544.9429 268.9844
514.7061 287.1875
639.6531 274.9570
502.6939 301.8125
497.9714 309.8750
515.5551 253.1875
494.2327 247.4453
458.6000 257.7734
483.9429 254.3750
459.9714 254.5781
566.2286 255.9414
563.6572 254.6875
546.6041 295.7500
599.6490 220.3633
162.8408 289.7617
542.8735 373.8125
641.2857 284.4063
593.5714 339.5625
277.3020 413.5156
256.8000 393.8672
543.0286 358.8594
138.3592 249.8750
268.8776 224.3867
412.6000 245.8125
390.2163 233.2695
245.4000 230.5547
265.4286 234.8945
266.2653 233.1328
277.2000 235.7813
270.1837 242.9219
268.1183 239.4336
263.3143 247.7969
237.8735 236.9453
237.6735 240.6719
212.6898 235.3906
215.2041 242.2773
210.6857 237.5078
244.6572 235.3359
246.4572 232.6875
244.0449 239.7813
478.1265 255.3906
580.0000 371.3711
328.7674 334.6797
595.9061 413.5234
580.6490 375.1484
506.1102 393.2813
451.9796 369.4336
447.3510 352.7891
444.8204 347.0664
437.2449 344.1484
432.9918 357.7969
335.9102 289.3789
397.7755 317.4688
312.0653 257.4453
297.1265 256.5313
550.7020 401.6328
556.6285 391.5820
531.1224 395.8281
595.1224 414.7031
584.5510 336.7500
151.4122 254.2109
243.2245 170.8320
345.0571 181.6406
230.0000 183.5195
351.7959 193.7188
299.6327 214.1406
562.4490 243.6016
542.3143 248.9258
568.7959 283.1719
430.9020 266.6094
390.8817 289.1563
277.7143 324.6484
268.2286 340.5938
476.0204 236.7422
554.0000 218.7617
462.7469 251.9531
403.3143 316.5625
708.9469 448.8906
559.3837 225.1523
218.8653 316.0898
206.4816 322.5469
543.9265 326.1875
547.8123 357.1719
555.0000 362.5195
507.8000 346.6953
503.3469 318.7656
504.2531 308.0938
489.3674 307.1172
522.0041 323.3828
536.1428 332.5078
526.2735 334.8828
548.6041 314.5469
503.8776 302.5195
556.8857 313.6172
386.9388 199.6719
438.2000 261.9219
444.6776 290.4219
459.0000 278.7891
456.3878 265.5586
446.1796 259.2500
451.5551 269.8438
462.1265 257.7266
466.8939 255.5039
468.2735 248.9375
440.6367 253.0742
440.9143 260.5000
404.8449 267.3047
411.3469 250.2227
