Right Shoulder
116.6000 161.8086
109.6367 162.5625
117.4653 159.4375
128.9959 191.0781
151.2694 192.3594
209.2286 200.3242
218.9102 206.5625
192.5959 198.6250
366.5347 206.1406
237.0408 217.6641
234.1674 219.5781
282.0367 215.7031
300.0204 213.7344
306.8898 207.6484
102.9469 182.1250
111.0000 176.4180
350.3918 305.4922
231.8694 195.5156
208.2408 198.8633
199.5020 199.5078
77.3061 171.7266
99.4776 162.1250
105.8000 165.4766
99.3673 156.7930
98.5755 156.9688
564.4490 238.8477
322.0735 224.6875
364.4000 219.1250
167.7143 200.1250
462.2571 177.4766
486.8776 239.3125
390.9265 175.8242
351.0163 175.1563
330.4286 194.1563
305.0000 181.4141
331.3755 190.9844
290.6490 192.8203
320.7837 201.3750
388.8939 201.9727
410.2490 201.3789
393.8286 190.9375
391.8286 193.5703
396.8979 188.6406
359.9592 192.8594
272.7061 214.9258
242.2041 195.8281
190.1429 174.3984
181.7755 174.1484
175.8531 193.0391
253.2000 177.1563
263.5020 191.4141
341.6857 202.4453
341.0245 202.4570
378.3918 195.3906
380.5510 197.8047
386.4734 193.0547
384.6327 189.4063
424.5878 180.5742
458.1551 169.6602
424.3469 174.7109
440.4000 176.1602
453.5102 179.5039
459.4572 173.6133
444.4449 169.3281
446.8612 173.9688
451.5918 173.8125
446.2041 170.8555
443.6530 169.7383
436.3021 183.3750
339.5592 214.2656
385.1429 200.0586
432.3184 208.5156
207.6816 202.4844
118.6000 214.9883
546.8204 175.5938
559.7959 202.0703
168.8000 202.3438
167.8326 187.0586
557.2816 202.3125
582.4408 207.0313
461.6041 165.2813
94.7755 225.0430
216.1020 187.1875
546.3265 229.3789
547.7102 231.0000
548.9183 231.7031
597.2816 239.6250
604.8776 233.4961
219.8000 168.1641
166.7143 146.4609
168.2449 145.3945
220.5306 139.2891
259.5755 151.4219
98.9143 144.3555
278.2000 157.1055
276.1877 158.9492
281.4286 159.1133
280.6000 157.5000
321.7143 151.2188
346.4122 170.8281
364.8163 154.1914
469.8326 152.0156
515.4572 140.1406
577.1551 140.4141
619.1021 146.9961
514.1837 173.9141
458.5714 183.4844
538.5510 228.0664
291.8776 191.7500
474.3469 191.9922
310.2653 198.1875
492.5020 197.4375
107.0653 231.6914
119.8082 213.9922
103.7143 212.9180
97.1633 214.7813
271.6776 189.0039
118.1551 210.8984
121.0000 203.2344
135.1837 209.7031
135.5714 214.4805
475.0000 190.4492
256.6204 194.2188
217.4000 180.7852
218.5674 182.5625
226.8000 190.9453
448.5469 193.4961
450.8082 196.4375
262.7551 203.0938
220.0612 178.9063
409.9592 180.0000
254.0531 223.2109
421.7143 203.0781
458.6571 140.0430
455.3592 147.8086
458.6490 136.5625
462.4000 139.3281
460.7714 138.2773
453.7632 140.5000
458.3878 136.5586
193.4286 227.9180
206.5469 238.9922
280.8000 287.6758
66.1347 175.1055
248.8735 226.9414
204.4286 289.7852
201.1633 231.3750
360.4898 197.7891
323.5714 193.0273
305.8041 194.2539
497.6449 244.1445
392.1633 233.0234
523.8367 236.1250
515.5714 242.0625
332.0775 200.6289
308.8163 206.1914
312.3143 205.4375
318.0000 206.5000
422.1429 237.1836
390.3265 249.6133
425.2408 247.9453
305.0571 198.6719
360.3673 199.3164
411.7837 210.2266
59.0612 213.7734
399.9510 233.8203
489.9388 219.2148
469.1714 214.6875
484.5714 205.9688
482.0612 207.0234
463.6531 209.0938
463.2041 211.5977
499.0408 210.8086
509.8979 210.6641
427.2857 247.1719
482.5347 232.1211
483.3755 238.7539
353.2163 204.8555
337.4857 190.7422
334.0816 192.4844
290.9714 192.5625
294.0204 194.3906
292.6612 194.0313
265.4857 189.5586
135.8000 179.5469
238.5306 180.6523
238.4000 187.5625
134.0816 184.3008
450.5061 209.4375
453.4000 197.7578
444.8367 194.1953
159.0000 192.0273
438.6163 203.3047
440.6122 200.9531
450.3673 198.5742
236.4735 222.8125
342.7143 220.5625
340.0775 219.0156
357.9265 214.3125
387.1429 210.0000
387.7143 208.2344
395.4286 205.4492
426.2490 232.3398
302.1714 236.0469
293.8735 239.6914
307.1061 222.8125
310.0286 223.4102
313.1021 217.3125
312.1592 222.1641
306.6898 218.4805
299.5143 224.8125
45.9469 235.3281
300.4041 227.7734
326.7265 210.1680
52.9592 235.2539
45.7020 242.2734
50.1592 237.9336
47.8000 247.5078
50.5102 242.0508
50.8163 239.4844
64.4735 238.7500
57.4857 236.5000
52.3265 233.0234
66.0000 185.7734
97.4857 183.5625
109.2041 179.2656
115.1184 178.3672
121.0898 171.8438
117.1184 188.9844
109.3714 174.6328
113.3265 173.5508
120.0816 173.3789
115.6286 177.3672
106.0490 182.4883
113.2857 178.5195
136.6449 214.0000
254.0939 178.9063
374.8367 182.9688
99.5306 228.5586
599.8367 198.8008
518.7714 204.0703
141.4041 178.4219
168.8367 193.8125
145.6735 192.9844
150.8000 184.6016
157.7306 183.7578
584.1143 212.6094
472.0980 225.0938
438.1224 224.2578
397.8041 224.6875
356.0204 231.4844
269.5551 234.5313
244.5674 218.5898
486.0204 208.9844
447.4204 209.7344
451.9633 210.3242
459.0531 209.0313
362.2000 219.5938
470.0816 236.2422
470.4326 227.8281
176.7714 248.4063
175.9225 250.9063
192.2041 232.4102
175.4694 241.3438
171.8571 234.5625
161.9184 235.0742
162.4898 237.9961
162.0245 247.7266
227.5388 218.5000
215.8775 223.7500
667.4490 246.5703
649.8571 241.1445
641.7551 247.5313
251.7265 247.9336
395.4490 248.9219
133.4898 260.3125
108.7714 261.1289
314.8000 171.5391
440.6653 156.0703
426.3469 160.2188
405.3061 138.5938
382.8286 144.9141
470.1796 157.9570
491.7224 160.8398
410.8653 189.2500
200.3918 273.2031
268.3388 221.5586
233.2449 223.8281
498.5673 250.8750
489.5102 252.0469
488.7143 253.8359
191.6939 212.2344
312.4163 211.5625
287.9143 188.2383
284.0653 180.6563
270.7102 190.3008
421.8367 216.6875
429.7755 215.2188
423.0857 216.6563
406.8367 230.1211
392.0898 226.8281
326.2571 204.6016
62.8653 210.3438
412.9388 259.4375
93.9347 173.7109
93.9918 180.1172
409.8571 264.6953
145.2898 195.5781
88.0816 186.7773
383.7755 203.6914
394.8000 194.4297
56.3673 164.3438
381.1551 200.8242
398.5510 205.7188
62.4122 213.3281
89.5510 210.9766
90.5714 210.1914
630.6938 174.0000
584.5837 169.4102
630.9796 188.5898
625.5306 179.5195
616.3878 174.4219
594.0000 180.2188
565.8571 181.8672
589.8449 181.7422
609.7020 196.4922
592.0286 202.0000
622.0408 188.0508
571.8367 169.6250
613.3265 179.9375
621.5265 178.7461
536.1918 188.4688
572.8449 184.9219
543.3224 184.2578
528.8898 184.8125
539.5632 181.3750
522.6000 187.4922
533.9755 183.5625
529.1510 182.3438
522.7959 181.2148
520.7714 176.5820
529.3469 177.6094
566.2041 168.4453
557.4000 179.5469
562.3469 170.7188
507.8490 171.8984
561.7837 166.2500
519.3674 185.6250
511.2000 193.2344
559.7796 182.4219
587.4531 178.3516
548.2857 184.3086
510.9918 195.6914
560.7143 194.5469
509.7021 183.3125
538.3878 190.5039
522.5510 170.6367
547.6000 171.0508
490.0041 180.6250
482.8204 169.9961
534.2857 175.4531
499.7469 181.5625
506.5469 185.6172
506.8408 174.0156
50.2653 197.4336
492.9102 194.1250
181.6449 214.5938
153.7755 218.6875
152.4694 219.3594
293.0000 213.3828
301.0000 208.5000
293.7755 203.2344
314.6490 243.5625
302.3061 231.5781
291.8367 216.1719
301.7714 215.6367
304.6694 219.6406
262.3143 214.5547
256.9837 212.7461
260.6367 218.5625
249.7143 217.7969
141.1714 215.2344
146.0980 214.8633
194.7673 228.3125
203.9959 214.5000
217.1429 212.1094
263.8367 214.6016
308.3796 201.5703
580.4979 256.3594
452.2327 216.8828
303.3306 250.6445
547.3714 287.7969
270.5102 276.6445
504.7143 240.6250
264.5184 285.6094
282.2490 285.5313
413.5714 297.6484
451.3306 290.5703
593.8572 230.9063
596.7592 240.2188
215.7143 176.1719
207.2000 178.7344
302.8408 151.8125
301.8571 159.7148
297.9755 168.3750
279.1877 200.1055
213.9061 219.3750
196.7347 220.1250
468.7143 221.9961
445.1061 210.2148
381.6122 212.1875
371.3796 196.6875
301.8653 190.1797
316.7184 186.6563
333.0286 176.5625
329.1388 187.1172
324.8367 183.7813
348.6408 191.8125
317.7143 200.6719
315.8735 193.5000
185.8571 159.1406
194.5714 150.3281
241.0000 226.6250
250.2204 234.6719
243.6286 229.6055
195.9388 238.2578
194.5306 234.0313
161.4816 242.6250
164.9837 234.9492
151.7143 229.7969
93.0204 181.0391
63.7551 178.9688
41.5306 181.4688
51.5428 174.0703
51.9673 180.5117
30.3061 186.4141
37.1143 179.0039
80.2367 174.1289
136.2408 207.1875
135.3714 209.1914
142.1020 212.7227
128.8898 212.2969
170.4041 262.8281
51.5265 214.7930
272.4531 247.2500
336.6122 228.4609
329.1021 237.5508
334.0816 245.2539
302.9388 246.5195
284.7755 247.8125
249.0286 247.3633
249.7592 250.1875
260.8408 249.5000
263.0571 235.7461
265.2245 246.5234
273.1143 239.6484
277.7306 243.4375
275.2163 236.5469
274.2694 234.8359
271.9714 239.0469
267.5714 237.1133
271.5714 234.0313
272.5143 234.1953
278.8857 235.3086
279.0571 231.1602
263.0612 236.7500
263.4082 237.1016
243.3796 238.7813
63.4776 207.2969
46.4082 201.7148
50.5184 194.9531
48.5796 194.1133
404.5592 188.3750
391.0000 189.5977
385.0204 186.0000
360.8857 196.4375
308.7102 177.7930
329.0367 170.8906
435.0408 160.7500
276.3878 171.9375
344.4572 127.1836
182.9225 159.8125
273.0694 169.2227
319.0735 174.3125
175.2327 271.9922
255.4572 146.9570
231.8490 142.5078
235.2408 146.8516
236.6000 152.8281
240.5837 142.1016
278.4939 116.0469
250.1143 148.3398
234.4490 157.0781
231.4857 150.0938
247.5714 153.2578
253.7878 152.4844
286.4653 135.3594
248.4612 165.2773
253.1224 168.9063
259.1143 150.1836
480.2327 177.1445
480.2898 177.4766
388.0000 158.0000
136.3347 227.1953
186.3265 216.4375
194.5592 196.3125
188.1837 199.7227
160.1592 204.4063
160.5429 200.8594
568.2531 191.9219
273.2653 173.5313
280.0816 167.3750
276.6571 171.0391
279.9143 164.6484
286.2735 163.1406
287.2122 170.8516
289.4449 159.6523
289.0123 166.2539
283.4000 171.8359
281.7755 171.4766
270.5510 172.5000
260.8326 179.6563
110.7551 206.0195
106.7837 206.5977
145.1837 198.0625
141.4000 196.7578
115.1878 208.8125
593.9143 167.8047
367.2041 190.5391
413.3061 187.5625
468.0816 181.9297
530.9347 173.2813
524.6163 173.9375
553.4449 183.7539
568.4898 170.1094
255.7429 197.1602
227.4857 209.4219
329.2000 214.0938
320.6939 213.9063
352.7959 216.9219
379.6939 202.8516
389.5837 211.8594
388.9755 206.2852
389.6571 209.9531
368.8286 212.5117
406.0816 209.3281
354.3102 156.2734
437.5143 166.7344
580.3878 164.6328
611.4572 158.4688
611.6122 157.7656
633.2571 148.7813
633.2041 145.5078
648.0000 160.4297
556.3877 177.8281
78.7429 200.4688
586.0735 145.6055
552.0857 187.1094
488.8082 232.9766
444.2857 242.3203
436.6449 254.0391
589.0571 245.4219
565.5428 213.2422
133.2857 274.1094
507.7633 242.9063
235.2000 194.9414
187.0000 199.9648
134.4000 211.0352
166.4082 217.0391
478.9429 255.2734
167.1918 213.4375
92.7143 228.6875
287.9020 214.6250
293.6327 257.4688
385.9184 208.0078
389.8204 210.4688
392.7510 207.5703
400.8653 209.1211
427.4939 207.8906
125.8204 208.7969
157.4571 214.1719
183.0286 203.3281
168.2449 207.8125
184.5878 239.6211
130.1469 232.2266
404.3306 272.3789
224.5102 134.3320
545.6653 254.3828
537.0204 244.0117
256.6286 383.3203
557.1959 204.4688
552.6735 199.1875
541.8979 201.6563
538.4694 198.3984
533.0204 190.8633
560.6531 173.9063
564.3224 174.6328
557.5592 170.0000
564.4000 179.3359
564.0000 182.5508
560.8653 151.6719
546.4939 135.1328
562.1143 148.7500
572.7714 148.2500
546.4408 148.6250
532.5755 183.6016
526.2857 180.8359
548.1388 205.2813
556.1143 197.0039
580.4734 198.3594
612.8572 190.7969
631.3469 211.1602
359.6980 251.9570
389.0000 227.9688
387.3469 240.7031
364.8979 233.2031
375.8857 222.1719
287.4816 111.2578
280.6531 120.1250
226.4367 141.3906
198.3061 146.5313
116.3224 199.7930
122.0408 188.7773
160.3796 181.2891
158.3388 179.8242
146.9551 174.0547
130.7184 167.8906
142.9225 163.7344
121.6122 171.9531
129.1796 163.0078
149.5061 168.8594
137.8898 161.3086
136.4327 163.4922
521.9143 164.0430
520.8245 165.5000
521.7143 167.9375
136.4490 169.2188
134.4204 166.0234
135.0286 171.7500
139.8775 173.7773
126.0000 175.4063
516.2081 167.7188
125.0408 156.8633
128.2980 155.8711
141.4776 157.7578
82.6000 171.7031
276.1837 234.1406
273.2245 229.7422
229.6000 144.1406
46.8408 146.2891
323.0163 177.9102
324.2449 162.4219
82.0204 157.9375
103.5714 155.1563
123.2000 146.3125
114.9796 147.7109
99.0449 151.7578
78.5714 152.7227
64.9755 158.8750
66.5918 157.5000
80.7184 155.8125
80.6163 156.6875
95.9388 145.9531
107.1020 138.0938
117.7184 141.3789
106.2204 140.3164
106.9143 141.2031
86.8041 148.0391
79.5388 145.2109
305.5265 155.7422
78.0816 146.7969
89.7143 142.8281
307.6326 151.0781
96.3673 139.9844
310.7429 144.5547
313.5878 161.2031
100.2816 137.9297
93.1837 143.7227
532.9592 199.8555
562.8367 202.4688
122.7428 265.4141
593.2857 161.8555
515.0817 179.9531
570.6898 216.9609
609.1755 201.0391
608.2653 198.7500
593.8530 202.2969
575.1347 199.9922
576.9470 191.6719
576.6979 180.1094
552.2449 186.6289
510.4694 201.9063
536.4734 203.6875
504.1592 202.4570
491.8571 212.0781
470.2612 215.5234
450.8000 206.1289
456.3878 208.6875
456.4653 200.5313
442.4286 194.2578
289.3959 258.7031
511.7918 164.2422
516.4449 266.4336
376.9388 89.4688
386.8979 148.6875
553.1633 140.7891
536.9388 149.6680
530.6531 148.7031
76.2245 190.7852
595.9183 140.1719
600.6938 135.1406
581.7959 151.5859
147.5510 190.0508
558.7143 153.6250
560.1429 154.0781
557.0041 148.3828
577.7714 145.1875
234.8367 96.9766
204.4980 93.0508
202.9184 93.0586
150.9061 99.0000
470.9551 124.1992
416.3224 148.8516
547.8939 137.8594
293.7510 220.3477
512.7755 208.5508
516.2694 213.2500
526.2857 208.4805
526.2694 201.5469
261.5714 225.6406
606.5103 221.6797
329.4286 298.5156
299.9265 317.5117
110.5265 155.4688
166.2857 138.1875
162.4163 149.4375
156.1102 147.9375
147.4694 153.7969
157.1184 154.5938
157.3878 153.8594
157.8408 154.6094
165.9592 153.1094
154.1225 156.8906
125.4000 145.3281
122.5714 144.9844
474.9184 146.6719
429.5347 152.1094
362.0612 136.4375
549.2286 149.9219
137.9061 153.6563
561.3714 217.8750
539.7061 187.4609
487.1224 193.6406
442.1877 192.9531
398.3469 185.8281
218.7225 264.6406
418.1021 251.2461
151.2857 275.6328
245.0857 224.2188
466.2816 147.1367
518.7510 232.5469
517.5306 234.1523
498.6531 203.9219
540.6735 229.7148
542.1633 227.0781
211.5184 224.9063
509.3061 215.9883
209.3592 230.5664
545.2245 217.7227
544.8776 237.4922
520.2000 224.8359
599.2408 296.2852
409.1837 262.3906
57.6612 256.3867
237.2653 331.2617
516.9796 242.2500
521.8776 255.0703
138.8041 170.7813
424.8204 210.8750
139.3143 179.4531
110.2531 170.7813
260.8571 152.1875
614.2735 158.0000
286.1429 159.9063
352.0367 208.3672
568.0653 209.0313
400.7061 212.9336
445.0449 220.7500
308.2857 270.0547
383.3551 248.4766
382.7265 275.4375
402.3959 211.4219
409.4000 219.8945
93.3755 131.3398
403.5061 178.8047
403.6530 185.8438
403.1714 235.6797
168.0531 217.0469
175.3469 233.5859
506.3224 206.6797
518.8204 212.1953
539.9265 218.2500
584.7592 263.2813
558.8776 258.0313
569.2245 257.7891
516.1021 230.3438
159.0123 189.0078
169.4408 169.4375
573.5714 203.9531
558.3469 183.6875
563.4939 162.9688
591.4490 170.3125
576.1428 191.1406
591.8326 169.1719
598.5837 170.5313
604.3224 168.1250
409.4898 142.6289
408.5633 142.7188
391.3224 158.3438
372.6612 164.0000
366.7102 161.7578
335.8286 198.8086
299.8490 208.9180
271.1021 201.3906
217.4286 233.4219
163.0041 190.7539
183.1429 202.4727
169.2204 208.6250
168.5714 198.9688
633.9959 174.8750
627.1714 183.5000
518.6816 253.2109
518.9388 238.8906
511.0286 265.2813
494.7755 235.1719
483.2327 228.1094
487.2449 254.6719
417.4286 250.8125
488.7347 249.1328
501.8979 239.7969
499.5714 247.7500
148.2449 249.8125
519.1674 274.2969
508.4734 252.6250
502.9470 237.0625
507.0000 255.0938
511.1265 253.0352
513.4000 257.0703
499.5959 257.2188
495.2327 257.3164
502.6122 272.4453
501.1837 269.5195
426.1429 259.7344
184.9429 252.3281
393.1183 264.2969
548.2490 260.9063
157.2286 264.3203
150.4572 252.6133
432.2980 270.1953
408.0245 278.1016
410.8449 275.4219
401.4041 274.3242
419.3143 269.3125
426.4408 267.4688
308.3224 247.7539
444.0857 258.5625
309.0857 259.7422
322.9673 256.2266
331.4408 250.0781
341.7632 240.0547
300.0816 244.6875
518.2653 356.6445
168.2857 217.3711
154.5306 211.1406
135.0204 219.1563
114.6122 228.4297
372.7347 225.3125
369.0694 232.7813
393.6000 242.4844
336.9265 166.1641
370.4898 191.4961
209.6612 254.1875
411.3837 226.8125
437.3592 207.8594
413.2449 153.8438
394.2735 162.9844
345.1918 171.1484
346.0286 173.1563
497.5551 168.1328
341.9592 191.2344
338.2000 182.0977
289.8326 177.0039
309.8939 165.8008
318.0367 164.5938
324.8571 152.9180
314.7755 148.6719
291.3388 162.4531
290.4694 163.0078
336.8449 159.7656
321.9755 159.7500
316.2327 169.8516
314.4694 166.3125
356.5102 157.6641
347.7347 194.4766
636.7388 284.5352
440.1837 192.1289
393.0286 216.7656
346.8694 203.6563
342.5714 175.9531
343.0735 182.5781
367.0000 168.2188
645.6531 160.5039
381.2245 157.4688
381.5592 161.7500
621.5347 157.8594
376.8817 147.5977
624.6531 149.9102
412.6776 149.8203
612.4081 147.6797
423.1021 147.5625
501.0163 134.7734
439.2000 313.0859
20.2775 178.0781
190.3388 149.9102
236.9796 126.2422
330.8367 156.5391
220.4367 153.4609
402.5919 171.0000
419.9388 170.9063
410.1959 173.3359
528.7959 198.8984
530.0776 213.1680
544.9836 207.8906
552.3878 205.4141
405.1388 167.5469
407.6939 164.6641
400.2000 167.4375
387.7347 180.0352
526.4204 182.9063
414.0408 174.5625
401.6000 167.9922
404.4653 180.5859
429.1224 167.3984
438.3265 159.9375
433.6000 160.3867
437.4000 160.6484
448.4980 161.7461
444.9306 162.3516
462.5551 165.8984
448.7673 175.8672
438.8000 172.9375
420.4000 167.2852
405.5428 176.8125
428.1469 175.4219
430.3306 176.2695
447.6082 175.0000
455.6245 178.9297
433.8653 169.7813
435.5714 169.6172
400.9755 194.5469
568.6735 182.8945
390.8979 191.6172
391.0857 185.2656
390.9020 149.2813
364.6571 141.3438
340.0857 152.5156
365.9265 155.7617
355.9755 168.8398
468.6000 190.7305
478.1714 193.2461
532.8326 173.6875
517.3510 143.1914
40.8653 224.9219
491.5184 200.3438
610.0367 199.6016
465.4286 220.5625
80.9102 306.6797
87.8571 304.1719
375.2000 218.7813
41.0122 164.1094
166.1225 144.7891
347.1674 161.3438
305.8408 173.8320
142.5714 160.8672
165.4857 159.4258
171.3673 162.0391
177.2571 154.6523
171.4082 160.0859
169.2408 164.3984
177.3714 156.1953
159.5306 162.2578
165.5510 154.8203
153.1184 162.1563
162.5306 156.9063
156.3184 159.0508
173.5020 158.7188
179.8286 159.9609
137.0408 180.7813
373.5225 169.1367
421.6000 216.8789
213.2408 205.1875
429.3469 218.9531
404.8245 218.4766
367.8898 225.2031
291.4490 224.8477
298.3062 203.5078
286.4326 217.6719
293.3102 214.7578
295.1143 205.6875
232.8082 207.0664
311.4082 279.8125
211.8531 192.9141
200.5388 193.1484
437.9020 228.7813
444.1388 230.6484
402.0000 225.6133
415.0612 242.8945
504.7551 222.0234
67.8449 206.6445
174.7551 139.4414
274.6000 142.5391
170.5306 129.2656
286.6939 139.0859
261.8041 161.4297
469.0694 166.9023
441.7714 190.6445
450.5102 191.1055
382.4612 173.7969
337.1837 196.1680
162.8571 268.5938
166.2286 267.5469
399.0816 179.9297
482.6531 166.0352
380.0367 182.7070
288.8979 219.9531
493.7551 318.7891
468.0286 182.4453
103.1020 217.5195
57.9061 259.1641
468.7265 226.4023
482.8653 222.3828
473.3878 214.1367
455.0000 218.5703
424.3673 217.7891
417.8531 226.8750
419.9184 220.6563
443.8041 219.5352
465.4286 219.4453
469.3388 214.8359
447.1265 216.1094
444.0204 216.7773
452.3714 212.5313
322.0735 137.3281
331.3429 177.6484
327.4857 191.7656
343.3429 180.6797
340.5184 181.8867
330.6286 168.1367
331.9469 160.3594
349.7959 134.6016
356.3592 145.1094
360.8776 143.8203
330.4816 178.8359
328.1143 174.5000
297.8776 201.3867
307.1837 198.1914
