Right Wrist
463.3469 195.0469
455.9020 238.7773
448.1021 252.2656
440.3510 295.0938
325.2245 320.2813
373.1429 318.3828
440.6122 316.5781
146.9592 477.4609
141.0000 476.1875
513.1796 346.7813
535.5102 348.0859
85.2000 332.3281
76.9429 383.4102
567.5021 399.6250
582.4408 365.0313
440.1347 398.1563
58.9592 332.3047
221.5388 303.1875
572.0408 336.9727
571.6776 333.0000
574.9388 337.5000
619.2490 323.7188
619.9469 320.5078
173.3184 262.9844
87.7143 178.7266
91.6041 173.2852
193.4939 122.3750
246.7429 297.8750
111.7429 327.5586
252.0939 289.8281
252.1551 294.3008
258.5714 293.1367
249.7429 297.7500
305.1429 306.9063
339.5225 289.6914
356.0408 283.9805
426.1429 292.4805
503.3428 268.9688
557.5755 256.2148
588.8449 246.4531
516.5919 261.4570
488.8408 285.3672
506.1347 368.0430
238.8163 289.5000
446.3306 372.6445
277.2776 298.9492
464.8286 397.1250
30.4612 355.6563
123.5714 370.2656
93.4286 348.3906
89.7184 364.0781
245.7184 282.4492
114.8327 355.3320
111.4490 349.0625
91.3470 358.9844
94.7143 354.5859
437.0000 376.8125
221.0939 288.4375
181.3429 281.4844
184.1755 279.4375
182.8000 283.6406
411.4612 381.8125
386.3020 379.7188
225.2694 297.0195
181.8327 271.8750
408.2122 381.2500
317.7918 275.0078
411.2980 280.0547
468.4857 226.1758
462.6082 216.6094
472.9510 230.3750
469.6000 228.3594
484.5266 230.5977
470.0530 218.0000
471.7673 221.5977
203.7143 478.3750
224.7020 489.0703
287.0857 375.4492
74.4449 339.5859
226.3184 503.2305
244.9102 494.8906
270.7143 484.2188
362.3265 315.2891
351.0612 290.1250
377.9878 322.6914
453.5306 322.8555
451.4286 323.3164
469.2245 321.8633
474.1347 318.1172
399.6490 308.9102
316.0816 307.9102
307.2041 308.5859
306.8571 323.6406
403.7755 367.8125
412.4000 332.8750
475.8694 338.3750
345.8571 303.5078
407.3878 318.6953
449.4163 319.4297
51.0041 325.1719
434.7755 303.4297
482.8367 298.6211
460.2571 303.9844
472.4490 292.4688
465.6530 295.8906
451.8979 297.2188
457.3429 289.2344
527.6735 285.5742
551.3265 281.4453
471.8571 297.3594
502.9755 292.1563
532.4694 342.0938
336.8490 321.0625
321.3714 305.9688
326.2449 314.3047
288.2286 328.3008
292.0408 321.3906
285.0857 328.8203
265.4857 312.1953
120.3878 330.0625
232.2245 313.2969
238.4000 284.9219
129.7551 333.8906
518.3306 382.8750
393.6939 359.2969
392.2653 359.5391
204.0612 355.1094
420.0286 354.1523
402.0408 353.3359
401.2776 351.3750
235.2408 327.4023
407.8163 297.9180
409.6939 295.6563
403.8816 294.3594
411.1429 290.7813
429.2980 291.2031
433.8898 289.5703
419.4653 322.6523
316.9633 308.6445
322.7510 314.5938
333.0082 315.2500
338.6857 305.9063
340.4326 308.2500
341.0327 316.6563
331.7184 307.8359
324.4857 312.7500
123.1143 284.0391
336.4776 318.1250
352.3184 309.1758
99.8979 290.4141
100.1184 306.2578
108.2122 297.8320
104.2000 303.8711
63.9796 311.7422
63.3878 307.7656
13.8898 338.1250
9.8694 334.0000
17.1429 343.7656
28.0000 326.3203
36.3714 333.7813
107.3796 363.9063
120.5796 355.3164
124.8694 353.3438
117.1184 360.1719
105.4286 362.4063
101.8163 361.5117
114.2041 362.0039
113.6857 366.0625
117.7796 368.4063
103.4898 375.0039
120.6776 400.0000
248.1918 330.5000
444.1224 280.0117
89.2735 310.5898
577.2571 343.4766
519.6428 326.2969
167.4122 294.0469
164.8776 312.6406
172.3061 285.2031
133.8286 269.2500
141.6163 271.3359
559.4939 333.8594
432.2041 356.0000
472.8979 352.8906
392.5265 365.9375
342.5674 384.3359
299.8776 384.8125
254.5469 338.3555
449.3388 349.8516
405.1633 348.8125
415.8163 324.9922
410.6122 325.0469
459.5714 266.0000
435.0612 376.1484
429.4857 375.9531
154.4449 440.8984
175.9225 536.6094
170.8367 332.2148
165.6122 332.7500
151.8571 332.0469
145.4857 335.3125
146.6857 337.4531
170.1551 346.3906
219.6776 286.7500
196.8979 266.7813
670.6735 371.0938
659.2857 362.3594
672.2041 364.8359
265.2449 383.2852
354.8776 318.4844
224.1020 314.7344
117.2204 344.0078
287.3673 139.7813
456.9225 230.4453
454.5714 241.3477
468.3673 214.5313
453.0980 226.2852
478.6531 177.0469
468.8735 201.5273
367.5510 260.4063
191.6898 465.0156
245.6041 358.1992
193.7347 367.2422
436.0612 279.1484
447.7551 274.8281
447.8571 333.6211
179.0816 450.1523
267.6490 329.4414
346.8123 284.5156
334.3714 317.7188
318.9061 321.0625
488.4775 336.3281
476.4694 332.4063
486.7673 330.8125
457.8571 337.5820
438.3020 344.0703
259.6122 70.9453
35.7633 281.9766
404.6939 385.4883
37.2000 394.2344
96.7592 354.8438
409.8571 488.2305
111.5429 460.9375
43.3347 494.0039
433.8979 271.4023
439.0286 271.9492
81.5918 375.2813
437.3592 271.8516
459.3673 277.6250
77.8816 312.3281
109.3265 286.3867
101.7143 290.3125
573.7714 300.0000
528.2898 199.3594
608.0817 304.6680
581.4490 294.3867
554.6367 293.2305
569.2041 301.1250
524.4204 310.8203
549.3062 315.7813
596.9592 349.3984
518.6572 328.0000
626.2857 386.0391
511.6653 382.3750
557.0245 325.3672
584.4326 397.2227
534.4653 402.5625
524.4286 403.5586
522.4000 397.3203
499.3918 381.0000
505.5510 383.5000
507.2082 345.2578
511.7143 386.6406
517.4775 385.9102
507.0980 390.9023
517.2041 380.0898
618.6000 354.4063
629.4694 350.9766
617.2000 343.6914
626.1021 359.6250
602.9183 357.2891
642.6980 354.6484
609.3062 368.3125
542.4000 361.1250
635.4449 363.3750
640.4122 362.8867
635.1633 366.2422
615.4490 360.3477
614.2000 373.2969
609.9796 368.1875
637.5714 368.9688
608.5510 367.0742
578.4000 353.6094
571.2367 359.1250
609.8163 367.6094
583.3429 363.5977
592.4000 359.3125
626.3673 349.6797
592.8000 351.6602
77.3265 445.1953
517.5143 391.4375
212.1347 423.8125
180.5674 440.2773
172.5510 425.9609
265.8000 325.4922
274.4857 327.7500
269.8979 327.5469
303.8000 343.0352
306.5306 338.7500
326.9918 246.0000
308.3224 243.1172
300.7878 245.5000
313.5714 255.7461
312.3551 255.1211
312.3592 254.5000
308.8571 260.2070
146.0857 527.7734
109.4612 508.3633
242.0327 332.2109
224.9592 330.0000
228.4694 330.1250
266.5551 348.0117
291.8000 337.2773
599.2653 348.5391
466.6653 330.5781
313.5674 318.6543
627.3387 331.6250
296.9592 327.9609
515.4286 421.0938
262.0449 389.2969
309.1633 402.1250
434.1429 378.0625
451.3306 369.2813
574.1429 311.0625
586.4408 286.6250
209.4286 260.9688
210.5306 266.9297
286.3347 303.4922
282.5510 305.2891
360.8653 294.3750
317.2449 341.6836
194.3796 291.2813
218.6816 255.9688
429.8571 326.6406
417.1429 304.9180
315.4898 300.4688
329.3551 264.4453
263.3673 296.1406
281.8326 279.6250
285.1143 237.8906
283.1837 274.1758
284.4694 268.1563
282.0775 269.3320
291.7143 273.1875
295.0081 270.9688
269.1224 334.3594
231.6000 364.4219
275.2857 313.3125
264.7837 316.5859
277.0082 320.6406
232.7755 321.9063
238.4653 323.0000
197.4939 302.1250
193.6000 325.1836
192.8571 314.4922
107.4490 344.2852
117.7347 320.0625
85.9388 323.9688
119.2571 332.1172
122.6980 324.4766
109.6530 334.5469
84.6000 335.0625
106.7347 342.4570
195.9959 292.8516
191.2082 293.0391
191.0327 294.4609
182.6449 298.3594
237.8326 419.1328
94.0571 380.8477
256.7306 306.7500
332.4653 298.9844
305.6735 314.6367
312.3265 318.9883
289.0612 312.5742
276.7143 326.6719
260.8286 325.1680
269.5469 324.1914
283.3102 323.0000
286.3143 318.4688
288.3347 324.0234
298.3388 318.8906
298.0245 313.5000
295.9184 305.2813
297.1429 309.3320
296.6572 304.8594
291.8571 309.8281
294.5919 312.8281
294.9265 310.7734
297.3347 311.0625
291.3429 306.9648
284.7020 309.5938
284.8286 312.1328
270.0082 313.1250
43.5429 291.9648
43.1102 322.3359
45.9633 316.5820
40.6653 310.3906
403.2000 259.0625
393.2857 269.7148
351.4082 231.0000
344.5428 251.6094
320.0163 233.1094
321.3714 233.2891
483.9102 256.3438
364.5510 235.0938
335.6000 231.5859
206.7592 252.4375
364.8898 230.7813
334.4000 429.1484
363.1755 374.6953
239.6857 219.3594
242.6122 216.6172
251.4531 226.3633
267.4000 242.3281
267.6449 243.1641
272.8123 252.7344
271.0286 282.7891
249.0408 283.2500
245.8857 290.0781
245.6286 283.5938
247.2776 278.6602
245.4041 242.2031
253.5306 276.9102
258.1837 275.2188
262.3551 262.0391
491.5633 313.4570
435.9796 329.9219
344.0000 310.0000
51.0776 310.9844
187.8898 330.7852
161.5143 331.4375
164.0735 325.0781
124.1837 329.8867
123.5143 326.4336
559.6000 332.4063
277.6490 353.5469
271.3469 342.3750
272.1429 349.4063
268.6286 345.5859
275.3347 343.1563
274.9184 341.3906
274.7020 344.9336
276.4245 340.3594
270.7143 347.8867
270.2449 344.6211
270.5510 348.2500
266.0245 344.4219
70.4286 359.3008
67.3673 349.7422
107.7143 346.8594
106.3959 337.0078
109.6286 357.2500
578.2286 331.5703
355.5714 288.3203
409.7306 305.1250
474.5306 301.8125
538.2653 325.6641
537.5469 324.8750
524.4408 275.3945
527.4694 248.8594
273.8163 291.7109
272.8286 312.2031
325.6000 296.5703
299.7959 302.6250
324.0816 298.9531
370.1224 308.4258
389.5837 278.3047
374.5428 284.0547
384.1959 290.0469
366.3143 303.2148
383.0204 317.8320
321.2490 272.4609
465.6286 242.3984
592.4163 298.3906
649.5428 268.8594
646.7429 264.9297
643.2857 255.6563
643.7347 256.2500
656.4000 261.1172
528.8204 290.6797
104.2000 250.1172
576.6694 242.7227
518.4286 333.9805
393.5918 391.8828
390.0000 391.2109
389.3633 434.6563
535.4735 328.0938
554.9714 418.6094
131.3061 486.4375
476.9551 456.8906
249.7143 403.1445
194.1021 403.8789
141.4530 415.9609
168.2571 446.6328
463.8571 436.3984
173.0939 430.0000
120.0571 450.1445
298.2204 431.8438
277.6939 404.2344
396.0612 347.1328
400.0490 346.3359
395.3469 335.5742
415.2286 341.7266
404.0816 319.2188
137.0123 373.1094
167.0286 405.5781
183.0286 401.7500
173.5714 406.4375
184.5878 443.2461
73.4286 450.0078
401.7918 328.2383
236.9592 162.9922
514.6367 378.8516
531.0449 383.1484
245.6572 399.7734
512.0408 285.1875
520.3796 290.5938
509.3755 295.2734
502.5633 295.0195
496.7918 287.8359
522.8979 267.3906
534.6000 243.3633
529.6082 254.0000
535.4857 264.9023
543.1224 254.8398
536.5714 240.0313
527.9755 226.3828
553.0286 216.9531
551.9714 228.4063
519.7632 232.5313
522.1183 252.2422
502.0000 263.7578
526.5592 285.0156
534.6285 281.4141
553.8939 270.7813
589.7143 262.9844
614.2041 285.7422
337.1796 524.8828
363.7755 427.6172
357.0612 444.1250
347.3959 465.4922
310.3021 477.4336
230.0367 242.9961
267.8857 261.9688
210.3633 283.1016
151.9796 300.8594
103.5388 350.9453
120.5306 330.8789
132.7551 319.4141
130.6163 322.7148
115.3143 298.8945
111.4571 298.1719
108.1469 297.8828
99.4245 290.4531
97.8653 289.2500
106.3878 289.3516
95.8653 276.9375
97.5510 273.2031
518.0857 273.3672
509.4531 271.1250
486.9143 270.6250
88.2898 271.1953
88.2082 270.6953
101.5837 287.9063
102.5306 284.6797
102.0000 287.6250
496.9102 253.0156
115.1429 286.1016
116.5061 289.3477
120.2408 300.8438
35.9143 363.6563
280.1429 422.6563
233.7959 413.8750
229.6000 294.5313
53.9918 267.0156
347.1021 291.2188
314.1429 271.9063
85.9510 278.6875
142.5143 253.2500
111.2000 253.8906
99.6980 253.4063
118.6122 255.4688
73.2000 263.9297
71.3224 268.9844
70.3306 266.2500
90.4816 259.4063
91.1959 257.3281
85.8163 256.0625
102.2531 253.1328
109.1755 236.7461
90.6735 247.0469
90.2204 244.8594
92.7020 250.3320
78.2286 254.8047
293.0449 252.0313
75.5020 251.2109
100.3673 250.5352
294.1633 251.9766
93.8122 246.9531
295.1429 253.6563
289.3429 236.2813
104.0408 250.7813
90.5061 261.6289
561.5306 387.8086
609.7755 345.4766
122.7428 441.2578
616.1429 287.3242
516.3469 291.3281
546.6816 335.7422
607.7714 339.8711
596.1428 335.8125
590.9470 321.4531
572.1877 329.5859
562.4163 296.2969
567.4694 294.9766
528.9796 295.1836
516.1021 328.4688
518.3510 359.5625
502.4000 350.4414
504.9143 359.8945
479.5878 379.8359
460.6367 367.8867
463.3918 363.5078
456.4653 351.2227
449.8571 372.3828
319.2980 408.4688
510.5020 281.5469
492.1551 456.9102
415.6326 120.0469
346.6735 285.6094
544.6938 276.4141
520.7347 295.5664
514.1224 299.5703
129.6082 339.0742
520.2734 214.1641
535.3184 229.3125
556.9796 263.2422
125.3714 347.5742
569.0000 232.3281
571.5714 229.6172
530.6204 276.9609
560.9143 276.8125
234.8367 178.1875
192.7429 196.5195
192.3469 197.3672
142.1633 199.0000
462.0082 192.5859
404.5020 227.1094
523.1102 206.7227
335.9224 306.8516
496.2449 382.5391
500.8245 383.7500
497.8979 396.2695
510.2122 371.5156
295.4245 447.4375
566.9592 369.9922
344.0571 404.5469
383.7959 479.8750
105.9878 252.8906
158.2857 243.1250
193.4041 244.7500
149.6612 244.3242
148.5796 256.9688
149.8204 258.1875
148.4082 252.6875
164.6367 263.3594
192.1714 254.0547
148.6857 271.0781
137.4000 229.5469
137.4286 232.5625
516.2245 252.6875
413.1755 297.4375
343.6041 277.7109
510.1429 255.8008
137.9061 270.8438
646.5714 291.0000
510.2204 297.3516
494.0775 322.5625
431.4775 295.8203
392.2245 288.5313
207.9510 401.9648
399.9796 372.1836
144.4286 419.6797
229.9429 323.9922
445.6041 234.6055
511.6898 362.6406
511.6122 358.4297
483.9592 315.5391
523.4082 356.3008
523.8776 357.5469
207.5633 318.3711
497.6245 326.5547
210.5674 330.7500
521.6408 323.7188
523.1021 358.0625
534.8204 354.5234
605.7510 313.1953
365.4449 458.2891
109.3959 370.4688
275.7551 431.8086
516.9796 359.2500
520.3387 356.9063
274.2694 334.1875
427.2122 301.7188
277.9633 309.8828
276.1959 356.2188
240.2857 221.7656
605.2612 224.3750
286.1429 236.0781
343.0653 318.8906
555.2490 326.9063
390.1918 330.2383
414.1633 389.3750
238.9306 408.9922
347.7592 386.9219
368.1306 399.7500
418.1388 382.7188
418.6082 397.9727
82.7959 200.1992
416.4204 394.9805
417.0204 413.6172
413.6286 425.5781
300.4326 317.1563
310.0408 333.6914
489.2408 310.8984
511.9225 333.8828
528.4326 337.5625
588.4000 416.8438
545.7510 405.6875
595.5510 414.5820
522.4694 363.8906
228.0735 282.2422
226.3551 316.2500
502.4163 227.7188
483.0408 223.9063
507.5102 187.9063
564.2041 195.7969
510.8776 214.9883
512.6572 221.3984
557.6694 224.4414
578.3306 221.7500
401.5184 226.7461
393.3878 243.9922
383.7061 263.7148
350.1796 260.2500
346.4816 307.7344
329.3306 345.4102
268.2857 348.3711
240.5388 380.4063
202.5714 391.4688
81.8939 345.8750
60.1061 346.1914
45.5714 345.5000
30.1429 332.6016
578.9061 268.5000
574.9143 222.3125
512.8694 361.9023
479.3469 381.4844
511.0286 391.7813
453.9388 361.0859
453.4531 388.0156
510.5102 385.2656
380.6286 345.3125
488.7347 384.6992
460.6163 384.1172
461.6939 383.1250
107.8367 411.6875
538.5632 392.3516
459.7632 382.0000
479.3143 394.8750
503.8979 385.3594
506.4163 392.0078
541.0245 389.4297
450.1429 400.1875
465.2571 415.1445
494.5510 406.6719
450.3265 413.0156
403.9388 387.5938
159.1714 435.4453
361.1510 379.0938
537.7184 402.2344
110.9429 433.7031
153.0000 410.2773
418.4612 394.2969
393.1184 402.8047
403.4572 406.8359
457.1306 334.3086
479.8857 329.7813
472.3837 313.4063
316.8776 415.0273
451.4531 370.7813
313.4286 433.8047
325.0367 421.8516
319.5551 413.5781
311.5428 419.2188
325.6245 431.1563
496.1755 406.3203
156.3469 428.0898
122.4735 447.7188
154.4898 444.6250
116.5714 462.2461
355.4898 351.1133
358.6531 391.9531
402.6000 399.1523
325.6367 299.8438
349.4694 364.1445
268.4000 318.6992
405.5428 386.9688
439.2245 375.9063
398.6000 248.9063
371.3510 235.3750
290.2367 249.5430
287.4572 252.9766
482.4204 251.1484
265.5020 304.0938
281.2775 213.5156
258.5674 254.9336
295.1674 227.4336
300.0327 236.7813
300.8571 262.6680
299.5306 302.5898
275.9510 293.2734
270.5714 301.1719
313.3020 299.1797
309.3714 304.9375
306.7796 319.2305
293.2449 316.8906
323.7347 303.8984
326.0612 383.0898
628.7959 258.3906
499.0408 430.0469
415.7061 379.6953
384.4612 354.5938
357.3714 334.7422
361.4327 343.3359
385.8571 321.1875
665.8571 262.9258
401.7632 262.8203
400.7755 263.2500
626.8735 269.7500
407.2980 277.8359
628.1061 258.2305
437.4939 257.8906
608.8204 244.5000
441.8367 249.7422
510.6816 226.5078
488.9714 464.2969
11.2327 238.1172
222.4082 181.8672
282.1224 211.3203
346.4939 260.4375
215.6531 278.9688
424.5469 347.0000
400.5510 347.5742
403.6041 344.4688
548.3878 381.2656
547.3755 378.3398
574.4041 368.8242
560.2245 362.4453
514.9510 285.2578
515.3387 244.9297
522.1837 245.1328
474.3347 342.8320
492.9061 246.6563
415.8939 350.4609
407.6490 363.8867
465.0735 317.8516
477.0612 249.1563
495.2653 255.4063
492.9429 292.7266
490.6572 301.4219
515.0694 247.3516
514.2694 252.8438
503.6122 244.3359
494.9551 278.2656
468.3184 348.4648
443.8000 352.7656
434.4694 364.1953
439.3918 355.7344
438.1674 362.6719
455.5919 329.0000
437.8449 351.2305
420.0939 346.9688
433.0571 346.9688
358.8531 371.4063
603.2041 359.3477
329.9184 379.7969
356.2857 359.7188
386.7469 357.0938
374.4734 359.4414
312.8857 339.6406
354.3184 335.5859
361.4490 329.3711
504.9714 340.3320
528.4572 326.1602
511.1918 287.8750
496.3388 285.2578
46.7673 397.8281
497.2245 362.3750
590.5061 288.3203
459.8571 387.9063
127.8735 411.3789
185.8857 423.0703
357.4000 414.8906
64.3755 388.2695
146.7347 296.2188
335.9959 277.6875
281.0245 296.4219
198.3428 281.0781
148.5143 316.0234
151.1225 313.1133
167.8286 309.3633
169.6122 323.9570
167.9225 321.0508
177.3714 319.2461
174.4531 335.9063
169.0408 297.5195
212.6898 308.6250
231.5510 284.0547
232.4326 276.1328
155.2571 310.1289
157.2000 309.1758
175.7837 320.9063
350.4122 307.6289
410.6000 389.0273
187.3469 414.3672
253.6612 324.2500
400.5878 436.5469
324.5266 414.9688
251.8980 411.4102
256.6612 412.0625
249.8816 398.3359
223.8245 401.3789
212.3878 422.3281
217.3428 357.9727
311.4082 422.9063
213.4694 365.5352
207.2000 374.9570
414.8817 459.2500
423.3714 410.6172
392.9388 425.3320
410.8245 493.1836
477.0000 383.6836
128.3592 300.3359
166.8979 223.5234
248.8775 233.0313
176.8571 232.7266
293.2041 249.6523
273.9633 299.2891
482.6245 248.1133
435.9429 331.9766
390.4286 328.2656
365.6122 353.0938
281.4204 340.8164
180.6326 402.5781
182.2571 404.8750
380.1429 242.6602
453.1837 254.4297
367.8735 306.6211
249.5674 298.6719
478.8408 519.2734
459.1877 335.6016
84.4735 349.3906
56.2367 419.2891
434.9633 363.0313
454.5551 392.1172
462.0000 379.6406
418.2000 341.8906
417.0204 370.1719
400.2204 364.5938
408.0612 337.6328
431.0367 361.7266
440.2857 368.6250
430.8694 356.4297
442.2163 375.2500
420.0776 352.2500
447.0571 363.2734
286.2857 187.4258
343.9143 342.4219
335.9429 348.1719
340.8286 340.4219
346.6816 336.9258
334.2776 329.7109
329.5306 317.9688
328.2531 317.7500
326.3837 304.1523
329.3592 296.8242
307.1796 320.9492
303.9429 334.4063
293.4816 347.8711
295.4653 337.3750
