Left Wrist
547.0817 311.2734
548.8286 318.4531
511.4122 286.1797
500.6898 291.3750
495.0123 294.5000
509.4572 321.3438
510.7755 371.1875
510.1429 377.4141
179.4122 285.6484
152.5674 279.7344
116.4898 315.9219
142.0735 288.2578
132.3673 326.4102
137.3429 314.4063
136.0204 318.7656
158.9020 279.2422
163.4775 276.7969
157.9510 278.8906
142.7592 271.7148
150.1021 267.0469
551.7347 360.6992
527.9061 359.9688
537.5878 355.1250
523.9551 357.7773
555.0327 335.5156
508.6000 361.7344
432.2775 340.5000
424.4041 342.5352
414.6531 369.7734
486.1388 344.7031
486.7143 408.9844
577.2980 427.1133
692.1184 432.2266
669.0204 422.9219
628.8367 437.8750
271.9959 382.9063
308.4898 351.7500
534.2898 380.6953
535.5510 375.6250
500.3347 376.9844
496.3959 373.9180
449.0449 340.3359
426.6816 311.6953
433.9551 315.1602
420.2653 308.3125
284.2449 306.7188
300.9102 289.5625
535.5918 273.1914
531.9878 280.2305
250.6000 305.6758
216.6490 313.6875
249.2571 340.2188
234.7224 383.9531
339.5551 344.8828
479.4694 370.0078
429.0980 439.7813
467.6490 367.5039
541.6776 376.6641
223.4490 338.3750
259.6245 332.1172
244.9388 324.7500
538.6122 351.1055
271.3388 324.3125
241.1061 321.4570
228.2898 296.9766
258.0000 352.0000
579.4816 386.6016
610.3143 416.2539
483.8041 434.7813
491.6327 428.4258
413.7551 377.0000
397.9388 372.2422
418.0571 379.6094
434.5510 388.3203
492.3470 373.5625
335.4000 298.2578
420.2204 255.0703
387.1837 253.6758
348.5755 259.6797
315.0122 257.4375
341.5306 262.5000
291.0449 266.0273
288.1429 265.3906
325.1714 240.6719
312.0286 250.0547
618.8572 277.4922
579.6327 280.6406
468.4653 295.9258
487.9837 319.2500
388.3102 319.3906
366.3265 347.2500
343.6816 349.0195
191.8653 360.6289
139.0000 313.8672
144.5714 348.1680
200.7143 351.2813
196.9796 343.8555
195.0286 354.9727
197.0286 357.9727
198.3306 367.2500
134.6653 330.9844
200.8612 341.1875
254.5428 298.1055
262.5837 304.3438
238.4122 310.6172
434.8123 329.5703
329.8816 290.6328
319.0408 315.3906
396.1674 348.1719
399.0939 354.0313
407.7918 337.6797
164.4163 350.6094
173.0000 340.7383
594.3796 498.0938
299.9020 316.5156
287.3959 314.7734
279.4694 301.3438
153.2245 321.7031
175.5918 321.6250
180.9347 331.4297
182.6816 323.8086
169.6939 335.2109
539.9102 481.8594
548.3102 392.8750
528.2286 426.0625
206.8000 317.6875
627.1714 410.3672
632.5918 435.3906
433.4163 420.0508
447.0653 417.1016
308.6326 348.8828
375.0000 371.7852
277.5469 358.5273
387.0286 376.5898
357.7632 369.8672
318.5102 329.1797
284.4939 317.8633
309.9347 313.9844
354.4734 320.7188
364.6449 328.4922
410.8979 359.5391
423.1102 354.9180
365.8531 370.7656
236.2000 302.3672
264.4286 303.0313
304.3510 298.0859
332.7061 286.3984
343.0081 250.6641
403.9143 259.0469
407.4245 306.8281
464.5674 287.5703
477.0245 298.0977
486.6000 295.0234
480.2653 298.2500
574.4122 315.8242
590.8449 320.6719
569.7510 319.8555
579.3715 334.9922
589.0122 317.4297
572.0857 321.9922
592.3796 326.2656
583.8694 335.6719
576.1959 320.0938
579.5510 328.5313
563.7755 325.8711
578.0164 282.9063
450.6531 323.8750
496.5714 323.5273
577.4612 343.5938
369.6082 454.9219
306.2000 422.8242
528.7062 357.1563
521.6327 361.9922
320.6000 352.1563
299.3837 388.1992
636.4898 422.6875
634.2122 409.4688
549.6285 421.8750
204.8775 349.5195
333.8979 339.4375
467.9592 334.5273
466.8204 333.0000
465.6531 334.0313
504.5306 337.1250
559.6694 294.9844
116.1102 264.7734
240.8775 286.8164
244.8857 280.1992
313.4694 296.5898
371.8612 305.9219
58.5959 287.2539
384.8000 311.5859
384.3347 309.3398
384.2857 315.9492
383.4572 318.3750
417.8286 313.5313
449.7592 305.1953
240.2041 312.0430
437.0653 288.8320
526.0571 272.0000
578.6613 260.7266
598.9306 257.9844
622.5510 260.2578
341.2776 291.6563
608.5020 267.3281
417.1020 374.5000
567.1510 221.8086
392.7347 383.2227
600.4286 247.3594
203.9470 360.1641
213.8898 368.3828
201.4286 365.5391
208.8367 364.0781
366.8612 379.3555
231.1184 358.6523
226.0612 349.0625
242.5837 348.0078
237.7143 356.1602
567.0000 266.5977
402.9061 386.8438
361.6286 371.8555
362.3878 370.0625
358.8000 402.8203
541.2612 278.3711
561.9020 273.7031
356.4694 388.2617
345.6694 375.7813
530.4979 267.5000
329.7429 304.8906
432.1306 285.2734
540.9714 216.3320
536.3062 217.8164
518.2408 220.8750
538.0000 224.7500
523.7224 223.4961
537.7184 223.0000
542.3143 215.5234
460.8571 475.7930
379.0204 479.9766
214.1714 367.9258
180.4000 320.8477
411.7714 495.6953
469.8082 476.8594
467.7755 484.2188
266.8163 291.4219
268.5918 288.2930
307.4081 308.2422
606.3551 349.6172
424.4898 351.6172
618.4979 356.5234
619.1633 353.8398
254.8531 285.7070
385.1021 297.0117
405.5755 322.5938
407.1429 329.2188
547.0408 377.0117
500.6939 332.8750
510.2245 323.9063
256.4857 293.8008
278.0816 304.9961
349.6898 304.3672
158.0490 328.6172
513.4531 317.6094
549.5959 305.7109
513.7429 253.3828
520.9388 235.7031
520.3469 222.0625
513.6122 242.8750
523.2816 290.6992
555.0612 284.3281
566.7143 294.4219
495.8571 293.9375
546.4122 295.9883
527.7184 326.1953
425.2327 309.6055
419.4000 312.6680
420.2857 314.3047
399.3143 318.7031
389.0408 321.3906
381.6735 321.2266
365.4286 319.7422
232.1265 310.7656
326.8163 313.2969
328.4898 303.8125
242.2449 310.0430
537.0408 366.4688
702.6082 270.7109
707.6938 274.9883
231.4898 341.3555
620.3633 341.7539
598.5714 333.1406
600.2204 330.6563
348.6449 275.7227
423.5306 296.7969
424.9755 295.6563
424.3061 289.2500
419.7143 289.0625
424.6776 299.2695
429.6163 302.4023
379.8939 303.4609
357.6408 304.9531
357.4041 300.7656
404.5796 294.8594
397.6857 302.5391
406.4816 300.2930
393.9673 308.6484
402.0367 299.4961
403.3429 298.3125
77.8204 300.8359
394.5959 298.0469
417.1510 305.7617
79.4898 319.0156
59.3061 321.0234
71.2694 315.4492
61.0000 324.2578
70.1020 331.3047
66.9796 325.7344
109.4367 349.3750
112.6204 347.7500
138.5265 366.6172
214.0000 350.4141
237.4571 353.5469
198.6041 341.9688
215.2408 327.9531
202.3510 321.2031
204.7306 327.1016
200.0571 340.6641
199.6531 357.6758
206.2857 314.8477
199.1714 334.9375
203.8041 354.7070
203.4082 323.9180
220.4735 368.0000
376.0694 324.5938
461.9388 252.2852
165.4694 298.8711
458.7143 243.8945
549.2714 278.2793
79.2735 309.9453
24.3265 296.7969
106.6122 290.5234
113.7714 275.4063
123.2000 275.9453
593.5837 345.2266
394.5265 358.2188
455.5102 372.0117
374.9347 399.4844
307.2531 384.3359
356.9551 383.0234
316.4204 380.2734
447.4081 324.7656
413.2122 324.6250
409.7918 262.6289
408.5061 225.9063
492.0286 310.0859
548.0816 372.9688
546.1224 377.1875
455.8531 443.1367
463.3184 494.3750
311.8612 317.9570
306.4286 315.8750
296.1429 314.8438
279.9347 320.3516
281.7388 314.3906
269.0776 301.7891
302.2204 310.3750
298.1224 312.3438
556.2041 372.7109
541.4286 365.5078
545.8408 363.3125
281.7673 383.2852
382.4082 324.2813
215.0408 313.2227
211.8490 323.7109
380.2163 137.6641
566.0775 232.7695
571.2327 256.4414
516.7142 222.9688
573.8735 228.4844
595.1633 183.4102
598.3510 211.6992
393.8490 235.6563
424.4694 327.6953
391.1061 351.3672
349.3061 374.6602
482.4367 329.6367
495.2041 360.2578
525.8571 372.5859
326.2245 370.1445
482.1592 305.1172
443.0122 321.8477
428.9470 333.8438
421.3224 325.0859
626.3551 285.7109
586.2000 163.6563
589.9755 159.5781
608.3673 258.2656
609.5592 316.8047
495.4326 232.8750
125.2000 280.6250
516.0000 373.0898
318.6041 178.2578
284.9388 360.3906
665.0408 445.6523
373.7306 466.1406
340.0775 505.8203
481.5143 271.4023
486.9429 276.8711
243.4490 356.2969
487.3184 268.1133
495.8571 275.1875
161.4163 299.9531
188.4286 303.7891
189.0000 299.6289
534.8245 300.0000
531.8082 308.5859
548.5469 316.8867
541.7755 307.6406
533.5510 314.2852
506.3878 317.6875
496.7959 323.1016
515.0041 332.9258
547.8082 354.8594
466.2490 368.2500
564.7347 403.0703
517.3959 422.6250
507.5469 395.5156
538.0653 432.0859
520.6531 416.3750
519.0490 406.2578
537.6163 395.4180
526.2081 399.8125
534.3306 404.5000
532.8612 398.4180
533.9755 408.9297
524.4816 397.6094
538.4939 406.6289
542.1755 392.5859
649.9592 371.3594
652.2449 356.0469
651.0000 361.9297
640.5919 339.2813
626.6857 357.2891
631.1388 348.8516
636.9796 361.3750
648.0000 363.5234
637.8857 365.8203
642.5306 365.0078
643.0612 358.3320
626.6408 371.5742
636.4857 371.0625
637.0817 368.1875
644.9183 368.9688
629.6122 361.8125
612.0000 356.4180
605.3020 359.1250
596.3062 348.6602
615.0857 354.9141
627.6082 359.3125
635.1346 364.3281
644.3755 368.8516
183.4898 405.6367
620.4041 382.4688
338.1592 385.2188
310.0612 408.9414
308.1021 395.7266
384.2000 355.9219
368.9429 400.6250
367.7959 399.2656
142.8735 348.4609
102.3469 235.8086
130.3837 257.6719
124.8939 257.5117
126.1143 258.4297
141.9714 292.4844
148.8776 326.6289
162.9388 324.9375
166.1429 293.6211
340.2000 510.5469
347.6000 510.6563
308.2041 329.0625
301.8245 333.5000
312.2857 332.3945
337.2327 342.5664
336.0122 353.8945
648.7429 333.1758
504.5510 298.0938
389.8776 296.2949
653.1347 331.6250
325.1714 350.9648
395.4286 418.9453
363.4572 393.0000
369.4000 391.8750
353.5714 376.3516
368.8204 369.2813
503.7347 309.6563
524.5306 304.6719
291.1429 290.8047
288.8000 283.5703
448.6449 295.2188
445.7755 301.7813
457.8204 294.3750
439.5714 336.2383
200.4816 315.6563
261.4204 319.5625
335.1429 277.9688
337.5551 302.7656
214.1020 300.4688
269.5510 272.5117
266.5755 308.9844
288.4775 282.9453
276.5143 266.1016
283.1837 274.1758
286.2245 269.9141
284.5428 269.3320
301.0000 269.4688
305.4408 268.6563
308.6735 340.6172
342.6857 358.2461
337.0000 277.9531
341.2408 278.3594
340.3143 273.3945
318.0816 304.3984
322.6735 303.5000
290.7021 363.7500
288.4857 364.2852
327.7143 374.0078
175.4694 344.2852
183.4490 336.5234
190.2980 326.1953
177.9428 332.1172
186.5837 340.4727
175.7755 332.3359
177.3102 337.3242
219.3510 355.7461
245.7918 290.8594
245.1837 289.3125
249.0245 296.2773
254.3184 300.1523
170.4041 417.2031
100.4367 389.3633
462.8694 285.7500
421.6245 294.8359
307.3469 326.3672
310.6531 327.3672
302.9388 328.2188
310.5714 329.8906
318.1429 330.2422
320.6653 334.0586
340.2327 326.0000
339.1714 322.7109
347.9347 325.2344
355.0939 325.1797
353.3714 324.5625
345.0857 315.6563
337.1714 311.2422
344.6572 313.0859
346.1429 316.9570
348.3061 318.5938
348.9796 320.0156
348.9918 316.6055
352.7714 317.9688
327.9837 315.5000
339.7184 321.5117
328.9714 328.3750
83.4122 227.2188
89.2816 264.5039
88.0980 265.4297
94.9347 270.8789
494.2653 272.6563
468.7143 286.8828
428.5919 258.5000
445.1143 245.3398
382.2000 238.7539
387.8041 244.7500
506.4653 184.6484
332.2245 220.4063
424.1714 256.3594
260.3918 245.3125
323.8123 219.9180
530.5796 395.3750
285.0694 382.0313
193.6857 219.3594
295.2327 219.0078
310.8979 227.7109
338.8000 238.1328
397.5388 237.7500
369.4000 112.2500
344.2286 132.6250
336.5918 131.8438
334.3429 137.7422
371.9143 209.6719
376.1796 212.3203
382.9592 252.4766
361.6776 268.4531
364.4694 260.0313
357.9592 262.0391
344.2653 398.6523
341.5796 403.2500
370.0000 374.0000
37.3755 310.9844
151.9347 321.3867
214.6735 334.3125
221.0612 331.6758
241.7959 353.3281
240.7715 353.1953
679.0122 386.1719
448.6123 362.3281
419.8367 344.5625
427.8857 347.1484
431.1429 338.8008
432.8531 305.8359
432.6898 298.2422
426.3429 309.1406
437.9674 296.3086
433.5143 318.1914
436.2857 303.0664
431.9796 299.6875
433.8939 294.1250
229.6122 361.4297
231.8286 362.0117
264.5306 352.4219
263.9143 352.3477
248.6082 336.8398
632.2571 328.0859
469.5714 289.4844
520.5714 287.3125
560.9469 283.7656
672.0490 314.6484
674.0367 307.6250
564.1306 263.1758
558.6449 265.2656
334.0612 281.6523
326.0571 294.4141
390.4000 284.6172
375.5510 292.1875
444.4081 312.6250
471.3061 312.5391
460.6653 279.8867
455.7265 298.5234
424.2449 288.2266
446.7715 318.3320
413.0000 313.2148
475.9755 252.6563
478.5143 226.1016
556.3306 253.8047
532.8286 260.2734
532.1061 264.9297
582.0000 235.6172
578.7959 242.1875
592.0000 237.3438
478.6979 298.2031
52.0735 248.9063
477.9265 321.0430
518.4286 383.5273
687.1755 410.4219
647.1429 416.9805
569.6245 440.5781
671.6653 513.5469
660.6857 420.7266
259.9796 478.5000
628.4286 482.6719
287.0367 367.7500
293.5306 394.3945
270.7592 408.8945
297.6857 439.2266
631.6857 443.9453
293.1021 437.8750
259.2571 420.2852
434.9388 429.2578
351.5919 415.8594
481.5510 355.8281
470.1877 366.7891
482.3102 366.6055
509.3878 362.4961
517.2408 360.2344
278.7755 361.9063
302.9428 369.2109
305.4286 401.7500
297.8571 404.6641
341.3470 451.7305
215.2245 343.4844
312.9347 332.0469
285.5102 189.1602
386.0898 396.6328
387.6327 395.1172
267.6000 403.8867
474.7388 287.1563
465.6204 290.5938
448.3959 303.4141
453.4286 287.4414
456.6816 285.2500
476.0816 261.3594
483.2612 270.3164
482.4408 268.0000
486.8571 260.9531
491.8776 260.5469
478.8735 240.0313
478.1183 232.0859
507.6000 221.5000
511.8571 226.9219
493.0857 232.5313
474.3143 250.7500
452.0000 259.4688
483.4000 278.6875
478.2286 281.4141
517.6490 271.9883
551.1428 261.6953
556.6531 274.7383
507.3184 502.3477
489.8979 410.8047
497.6735 431.1406
550.8572 417.2813
585.2490 472.3789
432.0204 241.1406
389.1755 260.3750
374.0204 259.7266
368.7878 232.0625
261.2041 240.2422
176.4082 270.4102
162.1061 267.6172
161.8041 276.6211
171.1510 272.8086
170.7225 267.0820
156.8327 268.2656
202.9673 239.8438
204.1102 215.5156
220.9918 226.8320
224.2735 229.0508
224.8000 228.9648
644.4286 327.0703
642.6613 324.7500
642.6857 321.9688
320.1674 228.2578
318.0204 227.0820
304.2204 252.4688
305.4490 261.0039
302.0000 255.5625
633.6041 322.2188
291.3265 254.2891
289.4531 251.3984
295.9265 258.3047
254.6000 346.4297
400.8979 398.8438
400.8980 380.0547
288.4000 254.8281
135.0367 238.3281
348.2490 270.6172
380.3673 264.0859
140.9796 247.1875
186.8286 239.8125
184.4000 252.6953
195.2082 247.0391
179.6163 243.9453
157.8000 249.1914
157.6408 247.4688
158.1918 243.7500
157.6041 242.3438
158.2000 246.7344
178.1837 247.2031
182.2612 253.1328
187.2816 250.1953
186.3469 247.0469
185.3755 239.8438
167.0163 243.2773
163.3918 245.6719
369.0694 250.8984
164.4980 239.6094
165.4694 245.8008
370.4898 250.8555
173.0204 239.3125
377.6000 248.0898
404.5061 237.4922
180.4775 245.7656
174.8490 253.5898
430.9184 359.2070
458.7551 372.0352
313.6326 425.7422
479.0000 217.4609
612.5102 296.3906
689.3184 341.3984
693.4204 367.9180
689.0816 361.3438
670.8653 341.7969
620.8123 338.4219
600.1959 306.4688
625.4775 314.7813
646.8571 307.5898
630.1633 305.9688
581.7796 348.6875
565.7306 329.3008
568.3347 337.4414
557.9306 361.1641
531.4612 354.0781
535.7673 329.7500
528.8041 347.3086
522.2857 340.8398
340.8939 360.2109
600.7877 281.5469
710.7633 467.9844
460.7755 161.8906
455.4286 270.7266
634.4694 305.2344
629.3021 308.5352
646.3673 292.2109
196.0122 250.6211
609.9918 305.7734
615.6041 299.3672
612.8163 286.5039
258.4490 234.4805
630.7143 259.7031
624.1429 262.8086
720.2531 272.0156
658.6857 317.3125
312.7755 182.8281
285.6082 191.8164
284.4694 188.2969
242.0816 180.2500
526.8735 190.3438
460.6490 215.2969
629.0041 242.8477
307.8082 326.9688
606.4490 393.5859
599.2857 408.9375
583.0612 402.8203
581.3224 401.3750
167.8245 397.8594
458.8531 393.8281
448.2857 433.7969
420.0122 462.6836
188.8204 223.4375
233.7143 227.1563
216.0490 225.6875
225.7592 228.9023
222.9633 229.2344
231.3143 233.8125
232.8163 232.9219
232.5959 237.5313
219.7633 241.6094
239.7510 242.5313
52.2000 231.9531
51.2571 232.5625
575.4898 229.3281
503.1510 248.3125
492.5796 260.5469
674.6285 246.0273
22.7061 241.5469
644.5428 270.6875
415.4449 362.8633
381.0571 327.7891
340.4408 323.8750
311.4082 292.1992
307.9714 405.0508
495.1224 400.9063
283.2857 414.5352
242.0571 298.2930
535.6122 244.3242
602.0735 366.8828
601.5714 364.3477
568.4490 313.0859
611.6531 377.3984
607.4694 375.8125
280.0735 292.0430
580.6938 327.8555
280.6408 333.1641
610.7347 353.8164
616.1428 385.7344
549.4408 328.5859
368.7796 317.0977
616.3673 469.8125
188.0327 355.9492
287.4694 425.1055
561.8776 386.2500
568.0408 384.6797
427.4041 200.3125
335.1265 310.0859
410.4041 210.5078
418.4326 196.6563
328.2857 236.5938
671.7266 230.0000
355.2571 237.2500
449.4408 308.6094
633.4286 275.6563
492.3306 322.7188
573.3224 306.2500
373.7878 420.5703
379.1674 319.7969
375.4286 372.9375
499.1021 339.8945
498.4122 348.8477
197.8490 193.5781
538.1837 356.1797
534.6531 365.3828
539.1143 392.4766
228.4367 352.0781
232.4898 370.4648
586.0367 315.4297
591.9388 336.6484
611.7632 349.0625
719.4694 394.9063
660.6082 363.0313
718.4082 361.7305
586.1428 371.8398
234.9796 287.4219
229.0653 343.4375
579.0449 330.0938
551.6531 285.9102
565.5674 237.7813
589.6326 254.0469
598.4286 272.2227
573.9061 293.0234
600.0449 263.7813
605.9469 262.3750
475.5388 225.6094
482.1061 234.6797
470.0245 257.3672
456.3428 272.7500
454.8490 296.1719
441.4204 337.2656
416.1347 348.3711
367.4939 352.1406
288.0000 304.0781
261.8571 353.5039
178.0163 369.2891
156.1061 364.2500
158.8571 361.7578
588.9224 220.0156
608.6285 229.0625
579.7102 350.3086
580.3062 331.9727
558.3428 330.5078
608.4082 400.1016
593.0449 406.6094
535.3265 403.9219
500.2286 342.6875
537.9592 404.4180
614.6285 409.4922
613.2041 416.3750
220.9796 419.7813
583.8204 416.6094
619.0082 421.3750
597.4775 413.8125
556.6326 407.0703
551.1633 415.5625
567.1143 415.5938
615.6204 419.2500
592.6531 420.7813
570.3265 422.8438
615.6122 418.4648
486.2245 392.8125
311.4572 480.0508
468.6776 390.7188
590.3715 433.8750
259.0572 456.9063
320.8286 420.4492
513.9347 402.5703
483.9102 408.2266
495.0653 412.7422
406.8408 353.3945
434.4572 350.9453
437.9265 352.7813
460.1755 421.4609
517.7592 369.3047
461.0857 416.3984
480.2408 415.6406
497.8408 420.3906
485.3102 416.6953
453.3388 425.6719
689.4612 402.6406
325.8776 418.5117
340.0041 399.4844
288.6122 422.9453
271.3470 415.0898
472.2245 357.7344
482.3469 373.6875
505.2000 404.5547
449.8245 290.4297
517.6327 351.5117
345.7632 317.2656
584.6613 410.4063
577.2571 349.7656
449.8571 258.6563
438.3551 281.2813
410.1388 327.9375
411.6286 328.1016
580.7959 286.3672
218.1714 358.7031
323.2204 388.5586
300.7755 276.7539
422.3510 159.1016
447.3388 202.3281
400.2857 315.8281
382.5306 319.5039
360.5837 299.4297
388.4286 301.1719
427.6530 336.1328
402.3265 322.2969
368.2245 316.8594
374.8776 321.8008
396.7347 324.7891
445.2653 402.6016
667.3755 353.8750
381.3265 307.9297
255.0735 406.2188
224.0694 374.7188
245.3143 305.1016
247.0408 305.2617
279.5714 285.0938
564.8367 283.1406
290.6122 283.4063
288.9714 289.5000
532.1102 241.7773
302.5306 272.7617
539.4775 251.3164
335.7469 259.1328
544.2408 237.3281
354.4081 252.2344
440.6082 227.7148
573.2000 435.5859
68.8939 244.9141
255.6653 162.9297
291.1510 211.3203
371.0980 268.2578
285.0163 272.9922
518.3551 323.0000
520.7551 326.2188
503.8000 306.2930
618.9183 347.9297
617.8979 353.0313
614.2081 348.0586
641.2041 353.2852
514.9510 339.2891
487.9714 303.3047
488.6979 292.9453
492.0082 326.9063
638.1347 343.8750
501.1347 359.7188
506.4490 329.5547
496.3551 323.7344
530.3265 316.6953
541.1837 297.6328
538.8857 348.3477
538.2081 333.7617
549.3062 279.6914
544.4653 295.2969
562.2653 358.0703
567.2490 344.5234
555.0286 339.2266
533.8000 341.9609
531.9061 339.8203
556.3387 339.9570
552.5837 337.6094
551.3959 355.0000
568.2286 349.2500
561.7429 348.9375
561.2857 341.9375
493.6449 369.3008
662.6735 330.5781
489.1429 395.0547
488.0286 394.6094
519.7102 340.4688
517.7919 329.9688
466.3714 331.8438
483.9429 333.6523
469.0939 314.7773
577.7142 321.1523
573.7143 308.6055
460.0408 335.1250
592.6449 308.0586
162.8408 362.4609
521.9510 411.9375
595.7143 275.2734
565.7142 417.6563
253.8204 404.9688
269.3143 414.7266
530.3143 430.1719
161.7224 351.2344
284.3878 288.4531
401.4286 322.3125
384.0123 305.0898
264.5714 288.0469
280.5143 299.0430
280.1837 297.8789
294.1714 296.1563
279.1633 305.9492
279.9837 309.2031
276.1143 306.4219
252.7959 304.1641
250.4694 297.5195
222.9020 289.8906
224.2857 300.4023
223.9755 303.8945
244.6572 291.8867
247.7143 299.1445
253.2694 285.8750
484.2082 322.2070
571.2000 422.1328
330.7592 416.3594
547.9918 484.4844
567.9388 445.0156
492.5592 414.9688
438.0204 404.4141
440.7755 416.4531
437.5102 430.0742
432.2816 476.0273
361.7551 443.0703
323.8817 356.2578
414.6735 387.1328
303.9837 357.4688
310.4490 334.9258
536.8898 491.5156
542.7837 415.8086
506.2041 472.9922
586.6490 497.4258
549.8572 414.9727
165.8204 288.8047
249.9592 199.9805
352.8857 227.4453
238.8571 223.8945
353.0980 239.2461
309.0898 283.0703
532.3265 255.6328
462.1714 266.4102
566.9183 380.8750
357.1877 327.7813
240.1143 293.2891
239.4286 384.8047
230.3428 363.9688
476.0204 266.3320
550.8979 269.9375
454.2327 311.4805
410.4653 402.4375
706.8163 521.4063
546.1224 309.0938
185.6000 396.0117
193.1265 412.6172
470.2612 378.3828
506.1796 417.0781
543.6122 419.5898
445.4000 418.7656
490.4898 412.3984
490.1469 387.5469
426.6939 344.4141
507.6408 403.2656
481.1429 406.3125
455.4898 393.3672
538.7837 411.3438
449.1510 379.6875
544.4857 405.8359
384.7020 234.1836
416.8286 341.1641
425.3469 348.1719
437.6286 345.4531
435.4326 341.8477
429.1510 330.9258
429.8082 325.1875
442.1224 345.4531
453.7796 337.8320
460.1021 299.1602
446.9919 320.9492
442.2571 331.7188
409.2408 331.7578
417.8571 304.8555
